ResourceID,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Archive Source Title,Date of Origination,Statement of Responsibility,Publisher,Archive/Source Type,Notes,Repository Name,Archive Source Format,Start Date,End Date
3B7540CB-78B3-46F5-9911-CC89258A90C4,Lincoln Heritage Database (Sources),2062,,"""Draft History (of Greyfriars)""",1983,"""Garton, C.""",,Manuscript,"""Copy in LAO ref L. Linc.373 Gart. Typescript in 6 vols""",,,,
3E083E3D-13E6-40DF-8542-5A8713AE72CF,Lincoln Heritage Database (Sources),1939,,"""Municipal Corporations Act Plan. Four inches to the mile""",1835,"""Dawson, R. K.""","""Ordnance Survey""",Map,,,,,
3E839899-BB80-4EAD-A38E-8A2C538455AF,Lincoln Heritage Database (Sources),2553,,"""Newport Arch from the south""",1770,"""Drake, N.""",,Painting,,,,,
3FC39412-27E3-430A-8E75-C1115F455252,Lincoln Heritage Database (Sources),1236,,"""Plan of the City of Lincoln""",1883,"""Padley, J. S.""",,Map,,,,,
41200793-BE42-4FA8-BF0E-ED45B512DEBC,Lincoln Heritage Database (Sources),1871,,"""Robert Grosseteste Bishop of Lincoln (1235-53)""",1966,"""Srawley, Rev. Canon J. H.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
41A80E76-514C-4EE1-A6AF-20A980902C70,Lincoln Heritage Database (Sources),1844,,"""Map of the City and Borough of Lincoln""",1839,"""Dewhirst and Nichols""","""Dewhirst and Nichols""",Map,,,,,
420A1A14-5C19-4318-8D6E-E8FA0C1C7127,Lincoln Heritage Database (Sources),1867,,"""The Book of John de Schalby, Canon of Lincoln 1299-1333, concerning the Bishops of Lincoln and their acts""",1966,"""Srawley, Rev. Canon J. H.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
428E6999-790B-41F3-A451-D212C8446D2B,Lincoln Heritage Database (Sources),1662,,"""St Faiths School 1873-1973""",1973,"""Gowenlock, D.""",,Manuscript,,,,,
43692D14-38AA-4206-BF66-E742795CCD61,Lincoln Heritage Database (Sources),2644,,"""Lincoln Castle, gateway""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
446CE2B3-FE9A-4CF0-86A5-225EC689B02B,Lincoln Heritage Database (Sources),2651,,"""Lincoln, houses of the Chancellor""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
481BA092-8AC5-4A4E-82D9-33BFEA53E028,Lincoln Heritage Database (Sources),2962,,"""Greyfriars, Lincoln. An Illustrated Guide to the Building""",,"""City and County Museum""","""City Museum & Art Gallery""",Leaflet,,,,,
48EC9453-A1E4-4038-907C-67FBC71E5E1F,Lincoln Heritage Database (Sources),2204,,"""Lincoln Racecourse""",2004,,,Newspaper Article,,,,,
4B1914A2-9899-4C1F-9276-8F052EC35F1E,Lincoln Heritage Database (Sources),1510,,"""Medieval building in unknown location""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
4BA7329F-8DAE-4249-8598-2E2304AF70EF,Lincoln Heritage Database (Sources),1187,,"""Lincolnshire Echo 1937""",1937,,,Newspaper Article,,,,,
4CD58D35-E01E-4D17-82F9-C7B762043F05,Lincoln Heritage Database (Sources),1496,,"""Lincoln, Cathedral and Castle from the north-west""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
4D1E8035-91F8-4403-8377-C080B861EE89,Lincoln Heritage Database (Sources),1155,,"""Map of Lincoln""",1817,"""Marrat, William""",,Map,,,,,
4E711CCB-7C5D-4330-9709-AF7CCA6BA467,Lincoln Heritage Database (Sources),1875,,"""Edward King, Bishop of Lincoln (1885-1910)""",,"""Chadwick, O.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
4F9A5102-D213-420E-8DC6-63ABDD4E31BA,Lincoln Heritage Database (Sources),1658,,"""Museum records""",,"""Lincoln City and County Museum""","""Lincoln City and County Museum""",Catalogue,,,,,
515E9890-2ED1-4969-9666-C1E747E13B3E,Lincoln Heritage Database (Sources),1141,,"""Lincolnshire Echo 1893-2012""",,,"""Lincolnshire Publishing Company""",Newspaper Article,,,,1893,2012
51AF4DC5-FDD5-407A-897D-1E542CF8C61C,Lincoln Heritage Database (Sources),1739,,"""Banks Collection""",1840,"""Joseph Banks""","""Lincoln Central Library""",Collection,,,,,
5225F490-8288-424B-AAA1-E91F96E87E84,Lincoln Heritage Database (Sources),1514,,"""Roman wall, East Bight""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
5230C182-8396-48AB-8B46-FF571DC6137E,Lincoln Heritage Database (Sources),1473,,"""Observation Notes: card archive on observation notes (Ons) maintained by CLAU""",,,"""City of Lincoln Archaeology Unit""",Card Index,,,,,
52820538-23A7-4863-B729-EC80EC4ECED9,Lincoln Heritage Database (Sources),511,,"""Antiquities from the Witham: Anglo-Saxon and Viking""",1979,"""White, A. J.""","""Lincolnshire County Council""",Leaflet,,,,,
53908238-C16A-4057-9891-6CF1213EB628,Lincoln Heritage Database (Sources),1729,,"""1 inch map of Lincolnshire""",1824,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
53BE4F09-5C41-412D-B021-AEB577CDE4DC,Lincoln Heritage Database (Sources),2672,,"""Lincoln Cathedral, east front""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
559A6A1C-D7EC-4F81-8506-2948B2AFF7BA,Lincoln Heritage Database (Sources),1847,,"""1:2500 map of Lincoln""",1948,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
565DE6C5-D795-4D9D-AA6A-61AD45D4C8BF,Lincoln Heritage Database (Sources),2908,,"""Plans of Roman Remains discovered in the Bail, Lincoln, June 1884""",1884,"""Hibbitts, L.""",,Map,,,,,
56E470EF-1ACE-4133-8668-5BD86E8A5553,Lincoln Heritage Database (Sources),1876,,"""Lincoln Cathedral Library""",,"""Griffiths, Rev. D. N.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
5B0F7E89-23DD-4AE9-82BF-C4FB7B926EC5,Lincoln Heritage Database (Sources),2043,,"""Digital map of Lincoln""",2004,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
5DBA461B-4609-4101-9DC4-24DF71E2E7EE,Lincoln Heritage Database (Sources),160,,"""Notes on the excavation for sewer works at Lincoln""",1888,"""Drury, M.""",,Manuscript,,,,,
5E946C65-C714-43DF-AC04-CBED99128CEF,Lincoln Heritage Database (Sources),1877,,"""Catherine Swynfords Chantry""",,"""Harvey, J. H.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
5FFD64B7-78A6-404D-9619-8388686F771B,Lincoln Heritage Database (Sources),2669,,"""Lincoln Cathedral, south porch, vaulting""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
60E24E98-ECF6-4C2D-894D-7F9664B76D01,Lincoln Heritage Database (Sources),2638,,"""Lincoln, Bishops Palace. Vaulting""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
62F4A58E-497D-4BCE-B86F-CB24DED646F9,Lincoln Heritage Database (Sources),1520,,"""City of Lincoln.  Proposed System of Sewerage and Sewerage Utilisation""",1866,"""Tarbotton, M. O.""",,Map,,,,,
6368556A-5F15-4871-8FEB-B37F1FAB3CB9,Lincoln Heritage Database (Sources),509,,"""White Book of Lincoln""",,,"""Lincoln Corporation MSS""",Manuscript,,,,,
63B1CB64-DD10-4F1A-A7AD-B7D0E5464FC7,Lincoln Heritage Database (Sources),1805,,"""Plan of a piece of land situate hear Mr Keyworths Wharf in the City of Lincoln, with the adjoining lands etc, surveyed Jan 2nd 1829""",1829,"""Kley, J. S.""",,Map,,,,,
63EE360E-BC09-488B-B915-C8BB3F974C92,Lincoln Heritage Database (Sources),2941,,"""The City of Lincoln insignia""",1964,"""Hill, Sir F.""","""City of Lincoln Corporation""",Photocopy,,,,,
645BE6E8-2B63-493C-98A2-D76E3D726D4D,Lincoln Heritage Database (Sources),1431,,"""Roman Lincoln; the cemeteries""",,"""Coppack, G.""",,Manuscript,,,,,
648CF303-3B26-4C35-977C-93AD97DF0CC1,Lincoln Heritage Database (Sources),1448,,"""The Ancient Suburb of Newport Lincoln and The Parishes of St Nicholas and St John Baptist""",,"""Peltor, Rev. L. F.""",,Picture,,,,,
650CBC24-513B-47FD-A3D2-BAF5EAD3381A,Lincoln Heritage Database (Sources),539,,"""Notes, drawings etc on Lincoln and Lincolnshire antiquities, etc""",,"""Willson Collection""","""Society of Antiquaries""",Manuscript,,,,,
6852338F-51FF-4D6F-AAFE-DB9D92A62B7B,Lincoln Heritage Database (Sources),2554,,"""Newport Arch from the south""",1773,"""Godfrey""",,Engraving,,,,,
69DBABB0-7C93-401A-8670-54146B7EE90D,Lincoln Heritage Database (Sources),2131,,"""Plan of The Close, Lincoln""",1869,"""Padley, J. S.""",,Map,,,,,
6BC8B213-9084-4342-8511-3C272FEFF53B,Lincoln Heritage Database (Sources),1476,,"""Plan and Section of the ROAD 100 yards each side of BAR GATE BRIDGE; in the PARISH of St. BOTOLPH, in the City of Lincoln.""",1833,,,Map,,,,,
703B3C0C-DB67-4F43-83F2-9E4A0E9616C6,Lincoln Heritage Database (Sources),1536,,"""Historical Record of dates of construction etc. Internal document at DP Lincoln City Council. Typescript""",1938,"""Lincoln Corporation City Engineers""",,Manuscript,,,,,
72197A67-E00D-4C72-B239-5E17B1C77338,Lincoln Heritage Database (Sources),2640,,"""Lincoln, Bishops Palace.""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
725ECC03-5E7B-4C74-B5EE-1E6BDF1B2722,Lincoln Heritage Database (Sources),1866,,"""The Origin and Growth of Cathedral Foundations (as illustrated by the Cathedral Church of Lincoln)""",1965,"""Srawley, Rev. Canon J. H.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
72ED482D-3A61-4C22-8088-09A738F5ED74,Lincoln Heritage Database (Sources),1211,,"""Digital map of Lincoln""",2001,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
73788C92-0CB5-44AE-91CF-7E7B3D3379B5,Lincoln Heritage Database (Sources),1538,,"""Colour print catalogue (Newport Arch)""",2000,"""Trimble, R.""","""City of Lincoln Archaeology Unit""",Catalogue,,,,,
758ED908-6B5A-4C49-93F4-7308D69103AF,Lincoln Heritage Database (Sources),2655,,"""Lincoln, Norman building""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
759EAB16-A65F-4830-85EB-917FA6A696CD,Lincoln Heritage Database (Sources),700,,"""Determination of burnt bones from Prehistoric Graves""",1981,"""Gejvall, N. G.""",,Correspondence,,,,,
76CCFD2A-F95E-4A96-893F-991ABA25D218,Lincoln Heritage Database (Sources),2653,,"""Lincoln, Roman gate near the Chequer""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
773CCB85-2E08-41F3-A7DD-A803923930FC,Lincoln Heritage Database (Sources),2580,,"""Box file of notes and cuttings concerning Lincolns theatres""",,"""Cooper, F. J.""","""Unpublished""",Manuscript,,,,,
782ECC8B-AFC0-4BAE-8DE1-B848B5CAA598,Lincoln Heritage Database (Sources),1429,,"""Lincolnshire in the News""",1998,,"""Lincolnshire Publishing Company""",Newspaper Article,,,,,
785C2A20-20B1-4939-9946-2BF90C022545,Lincoln Heritage Database (Sources),1488,,"""High Street from St Peter at Gowts parish looking north. A drawing""",1818,"""Brooke, William Henry""",,Drawing,,,,,
787D7ED9-F69E-4D8E-9704-21FAD85DDD18,Lincoln Heritage Database (Sources),2744,,"""A Sketch, Illustrative of the Minster and Antiquities of the City of Lincoln""",1835,"""Drury, E. B.""","""Drury, E. B.""",Drawing,,,,,
788A4BA0-E0DF-404C-BAB9-DC7EF4A37268,Lincoln Heritage Database (Sources),1235,,"""Plan of the City of Lincoln""",1868,"""Padley, J. S.""",,Map,,,,,
7AD7D696-4919-452D-AB35-2046DB380884,Lincoln Heritage Database (Sources),2642,,"""Lincoln, Vicars College from the south""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
7C984019-47A9-4C71-B363-00D4D8581F27,Lincoln Heritage Database (Sources),1154,,"""1:500 Town Plan of Lincoln""",1888,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
800609C7-334E-414F-8365-DFD28F0ECFC7,Lincoln Heritage Database (Sources),2654,,"""Lincoln, Old St Marks church""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
817F31A8-B2EF-4069-84C4-A6C50C8E45A1,Lincoln Heritage Database (Sources),2652,,"""Lincoln, St Giles Hospital""",1786,"""Grimm, Samuel Hieronymous""",,Drawing,,,,,
8189CEC5-57B1-493D-A5A2-0359ABFC0E74,Lincoln Heritage Database (Sources),1149,,"""Plan of the City of Lincoln""",1851,"""Padley, James Sandby""",,Map,,,,,
8234E51F-9DCD-481B-9873-0D2390BBE2E4,Lincoln Heritage Database (Sources),2733,,"""Lincs Chronicle 1844""",1844,,,Newspaper Article,,,,,
8319FF48-A197-422A-8C21-B7AD8A5D3523,Lincoln Heritage Database (Sources),2639,,"""Lincoln, Bishops Palace""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
83C3F269-9C03-4A61-8508-BD39290D68DF,Lincoln Heritage Database (Sources),1600,,"""The Fossdyke (map)""",1762,"""Grundy, J.""",,Map,,,,,
8512FB4D-316C-4BC5-9E99-9026768CF5A4,Lincoln Heritage Database (Sources),1497,,"""St Paul in the Bail and Cathedral from the north-west""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
86F7E9F4-A6CA-42FA-8B91-D45A92BD0728,Lincoln Heritage Database (Sources),2025,,"""Greetwell Ironstone Mines; a short history""",2003,"""Hudson, T.""",,Webpage,"""Article on website http://www.photrek.co.uk/greetwell.htm""",,,,
871D2830-3146-42C9-A309-7E26D016A32F,Lincoln Heritage Database (Sources),1511,,"""Pottergate and section of Close wall from the east""",1786,"""Grimm, Samuel Hieronymous""",,Drawing,,,,,
87462694-7D1F-44D0-9C9D-22A73B6AC103,Lincoln Heritage Database (Sources),2730,,"""Lincs Chronicle 1839""",1839,,,Newspaper Article,,,,,
87A17E29-209D-459C-85EF-A3B464A4FDDA,Lincoln Heritage Database (Sources),2673,,"""Lincoln Cathedral, south porch""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
8D69F51F-41BB-4219-BF60-126B79968588,Lincoln Heritage Database (Sources),2666,,"""Lincoln, bow window of the old house near St Peter at Gowts""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
8F751D12-AEE1-4FEC-A5E8-705D6B018F4E,Lincoln Heritage Database (Sources),1519,,"""Plan of the City of Lincoln shewing proposed Sewerage Works as designed by John Lawson. C. E.""",1866,"""Lawson, John""",,Map,,,,,
910C0BE1-0891-4DDC-BD77-03CF2CEB4A12,Lincoln Heritage Database (Sources),2658,,"""Lincoln, St Swithin and the Freeschool""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
93169F4B-A81B-4DBD-A467-A2801716B629,Lincoln Heritage Database (Sources),1224,,"""The Central Market. Official opening by the Right Worshipful the Mayor of Lincoln 18th May 1938""",1938,"""City of Lincoln""","""City of Lincoln Corporation""",Photograph,"""Lincoln Central Library UP 3650""",Lincoln Central Library,,,
944D3F22-B7C3-4208-BA4E-BB611CD95113,Lincoln Heritage Database (Sources),1221,,"""Description of works as at Sep 1935""",1935,"""City of Lincoln Water Department""",,Manuscript,,,,,
95B5316F-43C7-4CE4-BC3A-158647653627,Lincoln Heritage Database (Sources),1508,,"""Lincoln, house of Colonel Bromhead""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
97B29B39-55E0-4655-990B-1FF2265394CE,Lincoln Heritage Database (Sources),2135,,"""Plan of the Parish of Saint Swithin in the City of Lincoln""",1851,"""Betham, E.""",,Map,,,,,
9A48E76F-C089-4916-AE99-73B9F6E7326D,Lincoln Heritage Database (Sources),513,,"""Antiquities from the Witham: prehistoric and Roman""",1979,"""White, A. J.""","""Lincolnshire County Council""",Leaflet,,,,,
9ACFF4EE-4426-45F1-B123-92F874E4FBDE,Lincoln Heritage Database (Sources),2722,,"""Dedication of Private Streets. Public Health Act 1875.""",,"""Lincoln Corporation""","""Lincoln Corporation MSS""",Manuscript,,,,1897,1927
9AEE0EEF-8D4E-4009-8210-3673E521AC67,Lincoln Heritage Database (Sources),2731,,"""Lincs Chronicle 1858""",1858,,,Newspaper Article,,,,,
9C011EF5-8A48-4E58-AD00-753117393F3B,Lincoln Heritage Database (Sources),2130,,"""Outline ground plan of Old Deanery, Eastgate""",1827,"""Bentham, E.""","""Lincoln Civic Trust""",Map,,,,,
9E67C997-9A28-41AF-9A58-8C8BF5B52CDA,Lincoln Heritage Database (Sources),2083,,"""(Untitled) Yarborough Road; plan of new road""",1879,"""City Surveyor""","""Lincoln City Council""",Map,,,,,
9EED7965-CD19-41A6-BE7B-C116BD8D6FA5,Lincoln Heritage Database (Sources),2646,,"""Lincoln, Deanery""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
A1931A49-2529-4DCC-9414-F08A184CAFDA,Lincoln Heritage Database (Sources),2671,,"""Lincoln Cathedral, cloisters and chapterhouse""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
A2B2F036-93CE-4804-BF44-301BF8199D1C,Lincoln Heritage Database (Sources),1839,,"""Lincoln Cathedral from Brayford, drawn by J OConnor engraved by B Lasbury""",1878,"""O'Connor, J.""","""The Stationers Company""",Drawing,,,,,
A2E34DB0-B641-4D71-B4AB-0ADE0FE27A72,Lincoln Heritage Database (Sources),1438,,"""[Bailgate Colonnade and other Roman discoveries] Plan.""",1903,"""Harding, Cuthbert""",,Map,,,,,
A48DE81F-8E7C-45DA-A659-C4341BD3EE13,Lincoln Heritage Database (Sources),1210,,"""1:2500 map of Lincoln""",1938,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
A53A5AA0-4090-4775-BC01-35C9609E9EAD,Lincoln Heritage Database (Sources),983,,"""1:1250 map of Lincoln. Surveyed 1971-1992. Epoch 6""",1992,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
A5489671-C889-40B6-AA05-C29413F84DAC,Lincoln Heritage Database (Sources),1521,,"""Lincoln Corporation. Sewerage Works. General Plan.""",1877,"""Lincoln Corporation""","""Lincoln Corporation MSS""",Manuscript,,,,,
