ResourceID,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Information Source Title,Date of Origination,Description,Description Type,Statement of Responsibility,Publisher,Bibliographic Source Type,Notes,Subject,Date of Origination,Language,Right Note,Right Type,0
01E53774-7289-407F-B547-1BDBA28C728B,Lincoln Heritage Database (Sources),2106,,"""An Assessment of the Potential Leaching of Cement Materiaal from CFA Piles into Archaeological Deposits""",2005,,,"""Langdale-Smith, T. S.""","""Allen Archaeological Associates""",Watching Brief Report,,,2005,,,,8
01E605F1-53DC-4478-9243-FC367995F3D6,Lincoln Heritage Database (Sources),2252,,"""Newport Arch: East Gate: Lincoln Castle""",1975,,,"""Baker, F. T.""","""Archaeological Institute of Great Britain and Ireland""",Article,,,1975,,,,8
01F0B44A-5AB5-40B8-9E85-4721C0E5FE39,Lincoln Heritage Database (Sources),4338,,"""Journal of the Railway and Canal Historical Society 30""",1991,,,"""White, H. P.""","""Railway and Canal Historical Society""",Journal,,,1991,,,,8
01F2A6D3-17A9-466C-9B3D-4C2933E93AB5,Lincoln Heritage Database (Sources),2792,,"""45 & 47 St Catherines, Lincoln, photographic building survey (Level 1)""",2007,,,"""Savage, S.""","""PCAS Archaeology""",Building Recording Report,,,2007,,,,8
01F62E6D-9A09-46E6-96A9-638F9149F83C,Lincoln Heritage Database (Sources),3015,,"""3-3A Vicars Court, Lincoln. Proposal for tree-ring dating""",1994,,,"""Field, N.""","""Lindsey Archaeological Services""",Project Specification,"""Digital copy in LHD Sources file.""",,1994,,,,7
021843A8-A6D0-422F-A1DA-906D49ED6213,Lincoln Heritage Database (Sources),1586,,"""Guildhall and Stonebow, Lincoln. A Report on the condition of external stonework and sculptures, with recommendations for their recommendations for their cleaning and conservation.""",1994,,,"""Harris, Roger""",,Building Recording Report,,,1994,,,,9
0235513D-9B53-4C90-99F9-38F49663B0AD,Lincoln Heritage Database (Sources),2416,,"""Notes and Queries. C W Pennel, Sir William Tritton and the tank""",2005,,,"""Carle, A.""","""Society for Lincolnshire History and Archaeology""",Article,,,2005,,,,8
023C8EF8-6CB3-4595-AA52-2933C1C86261,Lincoln Heritage Database (Sources),183,,"""The Chantry Certificates for Lincoln and Lincolnshire, returned in 1548, under the Act of Parliament of I Edward VI""",1925,,,"""Foster, C. W.""","""Associated Architectural Societies""",Article,,,1925,,,,8
025A0DEA-FF71-4712-8A23-ADE5BC1CFDC6,Lincoln Heritage Database (Sources),2090,,"""Land to the south of Brayford Pool, Lincoln. Archaeological Desk-Based Assessment""",2007,,,"""Tann, G.Field, N. and Rackham, J.""","""Lindsey Archaeological Services""",Deskbased Survey Report,"""Digital copy in LHD Sources file.""",,2007,,,,7
02649C08-B542-44A0-B35C-364FC67AAD28,Lincoln Heritage Database (Sources),2602,,"""The Arboretum, Lincoln. An application to the Heritage Lottery Fund Urban Parks Programme, prepared by Land Use Consultants for The City of Lincoln""",1998,,,"""Land Use Consultants""",,Report,,,1998,,,,9
026533CF-5383-4583-8CFB-766CC1FE920F,Lincoln Heritage Database (Sources),4200,,"""Archaeological Journal 33""",1876,,,,"""Archaeological Institute of Great Britain and Ireland""",Journal,,,1876,,,,9
0279D9A0-D136-4A59-A54D-14304CE8ABBD,Lincoln Heritage Database (Sources),631,,"""Roman vessel and window glass report""",1993,,,"""Price, J. and Cottam, S.""","""Unpublished""",Report,,,1993,,,,8
027E1D7D-2A7A-49E6-A610-803469606EA2,Lincoln Heritage Database (Sources),646,,"""Wood report""",1987,,,"""Taylor, M.""","""Unpublished""",Report,,,1987,,,,8
028935BF-DB06-4640-92AB-6D56670805C3,Lincoln Heritage Database (Sources),1254,,"""Site of Proposed University College of Lincolnshire, Brayford South, Lincoln. Evaluation Addendum Report.""",1994,,,"""Hockley, J. and Wragg, K.""","""City of Lincoln Archaeology Unit""",Evaluation Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,1994,,,,7
02AB2FF2-387C-4498-8115-7A6A4E1D7803,Lincoln Heritage Database (Sources),1373,,"""Lincoln: Land to the west of Michaelgate""",1996,,,"""Field, N. and George, I.""","""Society for Lincolnshire History and Archaeology""",Article,,,1996,,,,8
02BAD04A-2F6D-4E0F-8C42-3E85B1DBA27D,Lincoln Heritage Database (Sources),133,,"""Lincoln Castle""",1993,,,"""Donel, Lisa""","""City of Lincoln Archaeology Unit""",Article,,,1993,,,,8
02D0EDF9-9BB5-4E58-8434-803D23F8B301,Lincoln Heritage Database (Sources),2442,,"""Industry""",2006,,,"""Herridge, J.""","""The Survey of Lincoln""",Article,,,2006,,,,8
02F7872F-FA68-42A9-B191-B2DDE954BB6C,Lincoln Heritage Database (Sources),902,,"""The medieval borough of Torksey: excavations 1960-62""",1964,,,"""Barley, M. W.""","""Society of Antiquaries""",Article,,,1964,,,,8
030D5BFA-1A2C-4759-ABA2-6D03CA208ADA,Lincoln Heritage Database (Sources),1076,,"""Ancient Cities, Lincoln""",1906,,,"""Sympson, Edward Mansel""",,Volume,,,1906,,,,9
03106FC4-35F8-4F04-A3EE-809FD4D51CCD,Lincoln Heritage Database (Sources),433,,"""Wigford from the Roman to the late Saxon period""",1990,,,"""Steane, Kate""","""City of Lincoln Archaeology Unit""",Article,,,1990,,,,8
032349DA-3174-4E33-941A-E2CBFF79A9AC,Lincoln Heritage Database (Sources),2076,,"""Archaeological Investigations at 29-31 The Strait, Lincoln""",2007,,,"""Malone, S..""","""Archaeological Project Services""",Watching Brief Report,"""Digital copy in LHD Sources file.""",,2007,,,,7
03350BF6-945A-4D79-BF07-291BFBDF86F4,Lincoln Heritage Database (Sources),1158,,"""The Ancient Episcopal Palace, Lincoln""",1850,,,"""Willson, E. J.""","""Archaeological Institute of Great Britain and Ireland""",Volume,"""Digital copy in LHD Sources file.""",,1850,,,,7
0343CB91-61EC-48CE-AA00-270DF7F9543E,Lincoln Heritage Database (Sources),150,,"""Castle/Lawn Link""",1993,,,"""Donel, L.""","""City of Lincoln Archaeology Unit""",Watching Brief Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,1993,,,,7
0356CD77-DDF1-4FF7-B7AF-60AAF2B7EE1A,Lincoln Heritage Database (Sources),71,,"""The Lawn""",1987,,,"""Camidge, K.""","""Trust for Lincolnshire Archaeology""",Article,,,1987,,,,8
036E6EFD-90BE-4719-918C-54E01733124A,Lincoln Heritage Database (Sources),1643,,"""Lincoln: The Sessions House, Monks Road""",1999,,,,"""Society for Lincolnshire History and Archaeology""",Article,,,1999,,,,9
03865446-7762-4118-8BCA-45017415A9C2,Lincoln Heritage Database (Sources),1754,,"""The Former Anchor Street Works, Anchor Street, Lincoln. Archaeological Evaluation. Interim Report""",2003,,,"""Jarvis, M.""","""City of Lincoln Archaeology Unit""",Evaluation Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,2003,,,,7
0392FE20-5F43-4E43-8CB9-ED81E0099962,Lincoln Heritage Database (Sources),1179,,"""Roman Britain in 1924""",1924,,,,"""Society for the Promotion of Roman Studies""",Article,,,1924,,,,9
039B9E0A-EE9D-44A4-AE0C-2A387288282E,Lincoln Heritage Database (Sources),226,,"""A walrus ivory seal matrix from Lincoln (late 11th century)""",1986,,,"""Heslop, T. A.""","""Society of Antiquaries""",Article,,,1986,,,,8
039D67B5-65E5-4446-8662-E9EDF1304766,Lincoln Heritage Database (Sources),191,,"""St Marks Church and Cemetery""",1986,,,"""Gilmour, B. J. J. and Stocker, D. A.""","""Council for British Archaeology""",Series,,,1986,,,,8
03A44294-E9F5-41F5-9D08-9B5BE18E3AA0,Lincoln Heritage Database (Sources),1435,,"""Sam Scorer. A lesser known architect of the twentieth century""",2010,,,"""Szynalska, Karolina""",,Volume,"""Copy in digital file""",,2010,,,,8
03B85065-88C4-4388-8F93-218077CB6FD8,Lincoln Heritage Database (Sources),2566,,"""Hilton House, Lincoln - A Question of Fashion in Art""",1953,,,"""Cooper, F. J.""",,Article,"""Digital copy in LHD Sources file.""",,1953,,,,8
03BBD31A-51B2-4C8D-9FC9-D37C6A183C6F,Lincoln Heritage Database (Sources),1652,,"""Lincoln: 323 High Street""",1999,,,,"""Society for Lincolnshire History and Archaeology""",Article,,,1999,,,,9
03BC7A63-4901-4386-B844-6B44922A08C0,Lincoln Heritage Database (Sources),2355,,"""Directory of Lincolnshire""",1849,,,"""Post Office""",,Volume,,,1849,,,,9
03D29DF6-8FC3-4395-BDAF-729975C76FB0,Lincoln Heritage Database (Sources),921,,"""Excavations in Thetford by B. K. Davison between 1964 and 1970""",1993,,,"""Dallas, Carolyn""","""Field Archaeology Division, Norfolk Museum Service""",Series,,,1993,,,,8
03E73376-6625-4E1F-964E-0189BE78CAE9,Lincoln Heritage Database (Sources),116,,"""The blacksmiths of St Marks and their god""",1990,,,"""Darling, Maggi""","""City of Lincoln Archaeology Unit""",Article,,,1990,,,,8
03F355A6-739B-43C6-9104-C321B97F5E62,Lincoln Heritage Database (Sources),1243,,"""Lincoln Bishops Old Palace 1992 Excavations: Summary Report. Archaeological Recording.""",1992,,,"""Brann, M.""","""City of Lincoln Archaeology Unit""",Excavation Report,,,1992,,,,8
03F557CC-23E7-408C-B8D1-9DC4959D6EC0,Lincoln Heritage Database (Sources),1040,,"""Lucy Tower 1972. Archive Report""",1972,,,"""Gilmour, B.""",,Interim Report,,,1972,,,,9
03FB2156-8896-4B4C-BF22-02EA7F9F20C8,Lincoln Heritage Database (Sources),988,,"""The Roman Aqueduct, Lincoln""",1975,,,"""Marjoram, J. and Moore, C. N.""","""Society for Lincolnshire History and Archaeology""",Article,,,1975,,,,8
04022DE5-E812-4268-8080-32DD1325A754,Lincoln Heritage Database (Sources),4308,,"""Medieval Archaeology 9""",1965,,,,"""Society for Medieval Archaeology""",Journal,,,1965,,,,9
04028ABF-FA21-4476-9ED2-8009A3036748,Lincoln Heritage Database (Sources),851,,"""O""",,,,"""Crowfoot, E.""",,Volume,,,,,,,11
04251BBC-943B-4FEC-85AB-BD1957D1B0A5,Lincoln Heritage Database (Sources),2747,,"""10 James Street, Lincoln. Scheme of Archaeological Mitigation""",2012,,,"""Savage, R. D. & Sleap, J.""","""PCAS Archaeology""",Watching Brief Report,"""Digital copy in LHD Sources file.""",,2012,,,,7
043E0733-D98B-4AC8-954C-9F7B16240B1D,Lincoln Heritage Database (Sources),2232,,"""The early synagogue""",1937,,,"""Rosenau, H.""","""Archaeological Institute of Great Britain and Ireland""",Article,"""Digital copy in LHD Sources file.""",,1937,,,,7
04659162-0739-467F-86D4-72580354D246,Lincoln Heritage Database (Sources),1665,,"""A common question. Were Wigford, Canwick and Bracebridge parts of a single early estate?""",2001,,,"""Mills, D.""","""Society for Lincolnshire History and Archaeology""",Article,,,2001,,,,8
04718D18-84BD-4567-8804-C97AB8D15FFB,Lincoln Heritage Database (Sources),1207,,"""Proposed foodstore: Nettleham/Searby Roads, Lincoln. Archaeological and historical study,""",1992,,,"""Hockley, J.""","""City of Lincoln Archaeology Unit""",Deskbased Survey Report,,,1992,,,,8
0488023A-1473-4CC4-9ADE-C985418DE2E8,Lincoln Heritage Database (Sources),652,,"""Technological finds from Anglo-Scandinavian levels""",1979,,,,,Report,,,1979,,,,10
048D3118-7DDC-488E-960F-7F5417CE6704,Lincoln Heritage Database (Sources),1478,,"""29 Steep Hill, Lincoln.  Archaeological Recording in conjunction with geotechnical trial pit investigations""",2000,,,"""Jarvis, M.""","""City of Lincoln Archaeology Unit""",Watching Brief Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,2000,,,,7
048E9E52-6DF9-43EF-A87A-BA505F19CA89,Lincoln Heritage Database (Sources),923,,"""The pottery""",1984,,,"""Rogerson, A. and Dallas, C.""","""Norfolk Archaeological Unit""",Excavation Report,,,1984,,,,8
04909E9A-A65C-4096-AD35-C3D76FFF8ECB,Lincoln Heritage Database (Sources),477,,"""The geology of the country around Lincoln""",1888,,,"""Ussher, W. A. E. Jukes-Brown, A. J. and Strahan, A.""",,Volume,,,1888,,,,9
04C1D954-2971-4DFE-B3C6-A3024A0D44A3,Lincoln Heritage Database (Sources),2947,,"""An archaeological watching brief on land at West Common, Carholme Road, Lincoln""",2011,,,"""Leigh D J""","""Northamptonshire Archaeology""",Watching Brief Report,"""Digital copy in LHD Sources file.""",,2011,,,,7
04C8685C-9483-4EB2-BADF-B74D0E69966A,Lincoln Heritage Database (Sources),1621,,"""Lincoln: rear of 5/6 Eastgate""",1998,,,,"""Society for Lincolnshire History and Archaeology""",Article,,,1998,,,,9
04E03AB0-3113-4E53-A9B9-43385F201AE4,Lincoln Heritage Database (Sources),2996,,"""No. 37 Cecil Street, Lincoln. Scheme of Archaeological Monitoring and Recording""",2014,,,"""Lane, A.""","""PCAS Archaeology""",Watching Brief Report,"""Digital copy in LHD Sources file.""",,2014,,,,7
04EC2EA5-D897-40B1-8A5F-245B343F1283,Lincoln Heritage Database (Sources),276,,"""Watching briefs""",1980,,,"""Jones, Michael""","""Lincoln Archaeological Trust""",Article,,,1980,,,,8
04F0BE88-B5BC-45FF-B6A1-DD336712D0E4,Lincoln Heritage Database (Sources),49,,"""Bishops Old Palace, Lincoln""",1992,,,"""Brann, Martin""","""City of Lincoln Archaeology Unit""",Article,,,1992,,,,8
04F13DAE-000A-4F80-B39D-927D0EE5EF01,Lincoln Heritage Database (Sources),1134,,"""Roman Inscriptions of Britain. Volume III: Inscriptions on Stone""",2009,,,"""Tomlin, R. S. O.,Wright, R. P.  and  Hassall, M. W. C.""","""Oxbow Books""",Volume,,,2009,,,,8
04FBB0C3-7488-4CB7-83F9-A788E20C12F4,Lincoln Heritage Database (Sources),1819,,"""Temple Gardens Restoration Scheme, Lindum Road, Lincoln. Archaeological Watching Brief.""",2004,,,"""Wragg, K.""","""City of Lincoln Archaeology Unit""",Watching Brief Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,2004,,,,7
050BEFDF-6AD0-40F3-9ECA-495283CFBE6A,Lincoln Heritage Database (Sources),1562,,"""Office Development, Firth Road, Lincoln""",2000,,,"""Trimble, R.""","""City of Lincoln Archaeology Unit""",Watching Brief Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,2000,,,,7
054BADE6-76C0-46CE-9BC9-86FD47A0E50F,Lincoln Heritage Database (Sources),1961,,"""Archaeological Watching Brief, Land off Queen Street, Lincoln""",2005,,,"""Munford, William""","""PCAS Archaeology""",Watching Brief Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,2005,,,,7
056D59E4-295E-4576-8D6F-F66DC2D72102,Lincoln Heritage Database (Sources),1803,,"""Land at 45-47 St Catherines, Lincoln. Archaeological Excavation""",2008,,,"""Hill, L. L.""","""PCAS Archaeology""",Excavation Report,,,2008,,,,8
059DC44A-CDFD-4AFB-8225-B389922A787C,Lincoln Heritage Database (Sources),4152,,"""Society for Lincolnshire History and Archaeology 43""",2008,,,"""Bennet, M.""","""Society for Lincolnshire History and Archaeology""",Journal,,,2008,,,,8
05A517FF-27BC-4122-B261-E5769EAC7561,Lincoln Heritage Database (Sources),108,,"""A Roman tile-kiln near Heighington""",1981,,,"""Darling, Margaret J. and Wood, K.""","""Society of Antiquaries""",Article,,,1981,,,,8
05B05A90-FCFD-4249-827F-CDC4B425BE94,Lincoln Heritage Database (Sources),4179,,"""Lincoln Connections. Aspects of City and County since 1700. A tribute to Dennis Mills""",2011,,,"""Brook, S., Walker, A. and Wheeler, R.""","""Society for Lincolnshire History and Archaeology""",Volume,,,2011,,,,8
05B156B7-27B6-43FE-A587-BA06A2BAFB5E,Lincoln Heritage Database (Sources),2686,,"""The City of Lincoln War Memorial. Official Souvenir and Programme of the Unveiling Ceremony, Wednesday Oct 25th 1922""",1922,,,"""Lincoln War Memorial Committee""",,Guide Book,,,1922,,,,9
05B30F7D-17CB-4381-815C-01A742A9FAA0,Lincoln Heritage Database (Sources),4147,,"""Society for Lincolnshire History and Archaeology 27""",1992,,,,"""Society for Lincolnshire History and Archaeology""",Journal,,,1992,,,,9
05B84C26-90D3-4B77-84B1-014005ABEEB3,Lincoln Heritage Database (Sources),4153,,"""Society for Lincolnshire History and Archaeology 44""",2009,,,"""Bennet, M.""","""Society for Lincolnshire History and Archaeology""",Journal,,,2009,,,,8
05C1E2BF-2CC5-4C15-921A-A79085330EF5,Lincoln Heritage Database (Sources),1674,,"""Bygone Lincoln 3. The City on Film 1937-1965""",2001,,,,"""Bygone Films/Lincs Echo""",Volume,,,2001,,,,9
05F000B6-3E7F-4EA8-BA52-573DC90DE697,Lincoln Heritage Database (Sources),1995,,"""City of Lincoln Directory""",1901,,,,"""J. W. Ruddock""",Volume,,,1901,,,,9
05F4888C-4A50-4521-893E-79EC1D12E1A5,Lincoln Heritage Database (Sources),1191,,"""Lincoln Cathedral, Close Wall, West Tower (DIsney Place Hotel, Eastgate)""",1995,,,"""Brann, M.""","""City of Lincoln Archaeology Unit""",Building Recording Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,1995,,,,7
0623D8A3-187E-4B27-8774-65DF61142504,Lincoln Heritage Database (Sources),2713,,"""John Speeds Map of Lincoln""",2007,,,"""Carroll, R.""","""Society for Lincolnshire History and Archaeology""",Article,,,2007,,,,8
0640C0D8-11B3-4F4D-B0DD-72009045DC6E,Lincoln Heritage Database (Sources),2027,,"""The Two Early Castles of Lincoln""",2004,,,"""Stocker, D.""","""Society for Lincolnshire History and Archaeology""",Article,,,2004,,,,8
064CA1C6-3A99-46E0-9C40-D5D482ADEE1E,Lincoln Heritage Database (Sources),1714,,"""The History of Lincoln and Guide to its Curiosities and Antiquities""",1818,,,,"""J Cole""",Volume,,,1818,,,,9
066336CD-8430-4A38-8FBD-D26693F57E4D,Lincoln Heritage Database (Sources),2736,,"""Girls and Swimming - Lincoln and Beyond, 1918-1945""",2011,,,"""Fisher, D.""","""Society for Lincolnshire History and Archaeology""",Article,,,2011,,,,8
06680FAC-5539-4E2A-A237-A1585A97E362,Lincoln Heritage Database (Sources),1423,,"""74A, Winn Street, Lincoln. Archaeological Watching Brief.""",1997,,,"""McDaid, M.""","""Lindsey Archaeological Services""",Watching Brief Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,1997,,,,7
069F8F11-1590-482A-8118-E273DDD0893A,Lincoln Heritage Database (Sources),924,,"""The Pottery from Site 24054 (Vong Lane)""",1994,,,"""Lentowicz, I. and Percival, S.""","""Field Archaeology Division, Norfolk Museum Service""",Series,,,1994,,,,8
06CE5F2B-48B8-489F-A2C2-1CC5449F0E33,Lincoln Heritage Database (Sources),547,,"""Monks Abbey""",1993,,,"""Wragg, Kevin""","""City of Lincoln Archaeology Unit""",Article,,,1993,,,,8
07025611-E7C4-42A5-BB9F-EAED02D35B70,Lincoln Heritage Database (Sources),411,,"""The bronze leg of a horse from an equestrian statue, from Lincoln""",1944,,,"""Richmond, I. A.""","""Society of Antiquaries""",Article,,,1944,,,,8
074044A4-C5A8-4F92-9AF6-A4BF794796B9,Lincoln Heritage Database (Sources),811,,"""Insects from the Lincoln Waterfront""",1995,,,"""Kenward, Harry""","""City of Lincoln Archaeology Unit""",Article,,,1995,,,,8
0761949B-C68E-42DD-A868-CBC5ADE114C9,Lincoln Heritage Database (Sources),4108,,"""Society for Lincolnshire History and Archaeology 13""",1978,,,"""Ambler, R. W.""","""Society for Lincolnshire History and Archaeology""",Journal,,,1978,,,,8
07637716-7748-4BFF-85CB-DF00C9D4F6F8,Lincoln Heritage Database (Sources),1474,,"""323 High Street; an archaeological and listed building mitigation strategy""",1998,,,"""Hockley, J.""","""City of Lincoln Archaeology Unit""",Project Specification,"""Digital copy in LHD Sources file.""",,1998,,,,7
076C3B20-3476-413D-8694-4F250BA1D7CA,Lincoln Heritage Database (Sources),998,,"""The technological finds from Anglo-Scandinavian levels at Flaxengate""",1979,,,"""Bayley, J.""","""Unpublished""",Report,,,1979,,,,8
076F84FD-DB3D-46C7-9591-F09B0A3E24CC,Lincoln Heritage Database (Sources),829,,"""A Computerised Database of Thin-Sections for the United Kingdom""",1995,,,"""Vince, Alan""","""City of Lincoln Archaeology Unit""",Article,,,1995,,,,8
07769BF5-FFBD-4C9A-ADAA-B4BA604A6843,Lincoln Heritage Database (Sources),2936,,"""An Archaeological Watching Brief at 18/20 Michaelgate, Lincoln, Lincolnshire.""",2013,,,"""Hall, N.""",,Watching Brief Report,"""Digital copy in LHD Sources file.""",,2013,,,,8
0789E016-43A8-4D60-8552-FFB94052FD1D,Lincoln Heritage Database (Sources),4025,,"""Excavations in Poole 1973-1983, Dorset Natural History and Archaeology Society Monograph Series, 10""",1992,,,"""Horsey, I. P.""",,Report,,,1992,,,,9
07A3F9FE-A812-44B5-B0FB-3D127A52849D,Lincoln Heritage Database (Sources),4203,,"""Archaeological Journal 37""",1880,,,,"""Archaeological Institute of Great Britain and Ireland""",Journal,,,1880,,,,9
07ADE9EA-EECB-45A7-8384-BB3D71FBC238,Lincoln Heritage Database (Sources),1170,,"""Advantage of recording the discovery of local antiquities""",1843,,,"""Nicholson, W. A.""",,Article,,,1843,,,,9
07D3C095-F4D9-47AF-9AC9-1F54F8CD002B,Lincoln Heritage Database (Sources),2408,,"""Lincolnshire in the industrial period""",2001,,,"""Wright, N.""","""Society for Lincolnshire History and Archaeology""",Article,,,2001,,,,8
07DA59EA-4CE4-4A0A-BB4E-49AAE8DF8D23,Lincoln Heritage Database (Sources),958,,"""5-6 High Street, Lincoln. Archive Report""",1994,,,"""Wragg, K.""","""City of Lincoln Archaeology Unit""",Interim Report,,,1994,,,,8
080CFDA7-5FFB-46E5-9299-F5315E9CAC02,Lincoln Heritage Database (Sources),1198,,"""The Itinerary of John Leland in or about the years 1535-1543""",1964,,,"""Leland, John""",,Volume,,,1964,,,,9
081BE2AC-9F15-4564-B0EA-73A7F89FF3CD,Lincoln Heritage Database (Sources),1522,,"""Lincolnians Diary""",2000,,,"""Washbourn, Peter""","""Lincolnshire Publishing Company""",Newspaper Article,,,2000,,,,8
082A9033-91BA-4393-AEE3-C4B4F2539CBA,Lincoln Heritage Database (Sources),649,,"""Textiles in two medieval burials from Lincoln Cathedral""",1993,,,"""Walton Rogers, P.""","""Unpublished""",Report,,,1993,,,,8
082CE84F-AE80-4090-8445-8CB3A5DCB3FE,Lincoln Heritage Database (Sources),2449,,"""The Catholic church of St Hugh""",2006,,,"""Wilford, J.""","""The Survey of Lincoln""",Article,,,2006,,,,8
084218E4-6996-4412-B5D5-2526DA25CF3E,Lincoln Heritage Database (Sources),1087,,"""5 St Johns Road, Newport, Lincoln. Archive Report""",1994,,,"""Wragg, K.""","""City of Lincoln Archaeology Unit""",Interim Report,"""http://archaeologydataservice.ac.uk/archives/view/greylit/""",,1994,,,,7
08722E22-4FEB-4267-906F-447496D01A30,Lincoln Heritage Database (Sources),1105,,"""Archaeological Notes 1973""",1974,,,"""Marjoram, J.""","""Society for Lincolnshire History and Archaeology""",Article,,,1974,,,,8
087D394B-77DE-4EC9-A0D8-CE4C92E2E858,Lincoln Heritage Database (Sources),1391,,"""Lincoln: Lincoln Castle, Crown Court gas main""",1997,,,"""Field, N. and George, I.""","""Society for Lincolnshire History and Archaeology""",Article,,,1997,,,,8
087DFC39-E726-4048-89D0-16EBF2BEFC23,Lincoln Heritage Database (Sources),164,,"""Lincoln as it was, vol II""",1976,,,"""Elvin, L.""","""Lincolnshire County Library""",Publication,,,1976,,,,8
089BDC69-631C-47EE-84EF-8A0034C65050,Lincoln Heritage Database (Sources),4086,,"""Wharram III, Society for Medieval Archaeology Monograph Series, 11""",1987,,,"""Bell, R. D. & Beresford, M. W.""","""Society for Medieval Archaeology""",Monograph,,,1987,,,,8
08A18FEA-1AE2-4F6E-BC6D-B6EFD60E3484,Lincoln Heritage Database (Sources),814,,"""Watching brief at Lincoln City Football Ground""",1995,,,"""Trimble, Russell""","""City of Lincoln Archaeology Unit""",Article,,,1995,,,,8
08BF2C44-C557-4BDC-AD29-6610902A2626,Lincoln Heritage Database (Sources),381,,"""The excavation""",1989,,,"""Miles, P., Young, J. and Wacher, J.""","""Council for British Archaeology""",Monograph,,,1989,,,,8
08C03D6F-53D9-44EA-A455-99D26080F98E,Lincoln Heritage Database (Sources),4301,,"""Medieval Archaeology 3""",1959,,,,"""Society for Medieval Archaeology""",Journal,,,1959,,,,9
08C07891-23B0-48CC-BC2C-288217ED07BB,Lincoln Heritage Database (Sources),2542,,"""Eastgate Hotel, survey of wall""",1980,,,"""Jones, M. J.""","""Council for British Archaeology""",Monograph,,,1980,,,,8
