WKT,ResourceID,PRN TYPE,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Heritage Asset Name,Name Type,Artefact/Ecofact Type,Material,ArtefactType PERIOD,Artefact/Ecofact Type PERIOD FROM,Artefact/Ecofact Type PERIOD TO,Description,Description Type,Easting,Northing,Inscription Content,Inscription Language,Inscription Note,Inscription Script,Translation,Compiler,Date of Compilation,Date of Last Update,Dimension Type,Dimension Measurment Unit,Dimension Value,Recovery Method,Storage Location,Storage Reference Number
POINT (-0.537945248415487 53.2383771070799),04D0BFEB-79A8-48F0-9CEB-E50EF1147D0A,,Lincoln Heritage Database Event No,1499,,"""Roman Brooch, Staunton House Newport""",Primary,BROOCH,METAL,Roman,0043,0410,"""Roman trumpet brooch. Originally enamelled. Collingwood type RIII""",Summary,497675,372258,,,,,,,,,,,,Chance find,The Collection,29.71
POINT (-0.534790694796792 53.2311466646226),05C8088D-6E25-43FF-8677-78D8975608D9,,Lincoln Heritage Database Event No,1468,,"""Roman Glass Bottle, School of Art""",Primary,BOTTLE,GLASS,Roman,0043,0410,"""Roman glass bottle neck""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9643.06
POINT (-0.537457806948971 53.2131102167243),06769832-585D-4EFF-8CAF-F9480F90ABC8,,Lincoln Heritage Database Event No,583,,"""Roman Stone Cist and Small Finds, South Common""",Primary,COFFIN,STONE,Roman,0043,0410,"""A Roman stone cist and other remains, including a mirror, pottery sherds, molten glass and iron fragments, were recovered from the Common. Exact location unknown, but found 4m south of 96.81(RE1663) and while levelling a football pitch (therefore at the north end) (LC 13/01/1911 p 5 col 2)""",Summary,497765,369448,,,,,,,,,,,,Chance find,The Collection,97.81
,06769832-585D-4EFF-8CAF-F9480F90ABC8,,,,,,Primary,SHERD,CERAMIC,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
,06769832-585D-4EFF-8CAF-F9480F90ABC8,,,,,,Primary,GLASS WORKING DEBRIS,SLAG,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
POINT (-0.53837794881705 53.2349124155319),06983F01-59E3-4998-8F5C-DD5917AC906D,,Lincoln Heritage Database Event No,1452,,"""Medieval Pitcher, 90 Bailgate""",Primary,PITCHER,CERAMIC,Medieval,1066,1540,"""Tall medieval pitcher.""",Summary,497654,371872,,,,,,,,,,,,Chance find,The Collection,9616.06
POINT (-0.575511296850689 53.223927171869),07095E90-608C-467A-BF55-14A2316FE1F7,,Lincoln Heritage Database Event No,1659,,"""Medieval Roof Tile, Haw Hill Swanpool""",Primary,TILE,TILE,Medieval,1066,1540,"""Fragment of roof tile with part of a verse? graffito in Tudor handwriting""",Summary,495200,370600,,,,,,,,,,,,Chance find,The Collection,46.8
POINT (-0.539392239341011 53.2288838119565),0884ED50-9C0C-46FE-A53F-B86B4B29846D,,Lincoln Heritage Database Event No,10665,,"""Medieval Lamp, 301 High Street""",Primary,LAMP,CERAMIC,Medieval,1066,1540,"""Find of a medieval shell-gritted cresset lamp during building works at Woolworths. Grey-brown with shell grits, the interior sooted.""",Summary,497600,371200,,,,,,,,,,,,Chance find,,
POINT (-0.540660340145346 53.2136169380575),08920BE9-979C-4B3F-BA38-6F1653E9A8AD,,Lincoln Heritage Database Event No,1663,,"""Roman Cremation Vessel, South Common""",Primary,CINERARY VESSEL,CERAMIC,Roman,0043,0410,"""RB cremation vessel. Found in sand pit. Exact location unknown""",Summary,497550,369500,,,,,,,,,,,,Chance find,The Collection,96.81
POINT (-0.530822005217698 53.2359162638997),08936132-52C9-4472-92C9-659ACB163AAD,,Lincoln Heritage Database Event No,10639,,"""Medieval Silver Penny, Langworthgate""",Primary,COIN,SILVER,Medieval,1066,1540,"""Find of silver penny of Edward I, York Mint. Exact location not recorded in Archaeological Notes""",Summary,498156,371994,,,,,,,,,,,,Chance find,The Collection,61.73
POINT (-0.540823186110378 53.2370279671407),09027C58-5955-45D0-AA0B-8813709106D7,,Lincoln Heritage Database Event No,1635,,"""Roman Bronze Brooch, Wickham Gardens""",Primary,BROOCH,BRONZE,Roman,0043,0410,"""Roman bronze disc brooch. Enamelled centre-piece missing""",Summary,497486,372104,,,,,,,,,,,,Chance find,The Collection,4.64
POINT (-0.539575905000077 53.2292096895089),090580D0-3FAA-4F69-A230-0B6D7E8FC648,,Lincoln Heritage Database Event No,1586,,"""Roman Pin, Falcon Inn Saltergate""",Primary,PIN,Bone,Roman,0043,0410,"""Roman bone pin""",Summary,497587,371236,,,,,,,,,,,,Chance find,The Collection,4.38
POINT (-0.53769517022907 53.2435161058207),09ABBB72-80EE-4F91-B7C5-C43D51BA29BA,,Lincoln Heritage Database Event No,5981,,"""Roman Coin, Bishop Grosseteste College""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin of Antoninus Pius, AD 138-161, too worn for further details""",Summary,497680,372830,,,,,,,,,,,,Chance find,,
POINT (-0.539990535418164 53.2381594546804),09CBDEB8-7746-4737-8E89-24C809EA67C2,,Lincoln Heritage Database Event No,3120,,"""Stone Coffins, Newport""",Primary,COFFIN,STONE,Roman,0043,0410,"""Report of find of stone coffins in Newport - possible Roman burials""",Summary,497539,372231,,,,,,,,,,,,Chance find,,
POINT (-0.542670186420689 53.2285283904091),0A2B3605-60A3-4D60-8232-CF9C11872455,,Lincoln Heritage Database Event No,1500,,"""Post Medieval Key, Brayford Bridge""",Primary,KEY (LOCKING),IRON,Post Medieval,1540,1901,"""Iron key of date 1660-70 and 12th-13th century pottery""",Summary,497382,371156,,,,,,,,,,,,Chance find,The Collection,46.71
POINT (-0.538435305057378 53.2371874957676),0A722D9E-759C-4C3D-BE44-E2374972145C,,Lincoln Heritage Database Event No,1576,,"""Roman Samian Ware, 50 Bailgate. Lincoln Co-op building Newport Arch""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Two fragments of Roman samian ware. Form 31""",Summary,497645,372125,,,,,,,,,,,,Chance find,The Collection,370.37
POINT (-0.511613839164226 53.2453957943397),0B4D0C6E-4B65-4615-BB88-A3F9A0921B98,,Lincoln Heritage Database Event No,10636,,"""Roman Coin, Goldsmiths Walk""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin in garden, an AE of Dalmatics Caesar,  AD335-337. Trier mint, LRBC19. Exact location not recorded in Archaeological Notes""",Summary,499416,373075,,,,,,,,,,,,Chance find,,
POINT (-0.532697017425021 53.23366497949),0B7417C9-59A2-4ECF-95EC-A514A6065A77,,Lincoln Heritage Database Event No,7886,,"""Roman grave slab fragment, Pottergate (near)""",Primary,TOMBSTONE,STONE,Roman,0043,0410,"""Find of fragment of Roman grave slab, ""built into a medieval wall near Pottergate)""",Summary,498036,371741,,,,,,,,,,,,Chance find,,
POINT (-0.53777885775271 53.2300686428939),0BB0DBA5-4884-4793-9BFE-E0A098CAE053,,Lincoln Heritage Database Event No,1483,,"""Medieval Alabaster Fragments, Co-op Silver Street""",Primary,CARVING,ALABASTER,Medieval,1066,1540,"""Two pieces of tablet. Alabaster carving. 15th century""",Summary,497705,371334,,,,,,,,,,,,Chance find,The Collection,142.08
POINT (-0.551490123581574 53.234856719729),0C2FFEC2-04B7-4504-A649-70839486769B,,Lincoln Heritage Database Event No,1479,,"""Medieval Buckle, 73 Richmond Road""",Primary,BUCKLE,BRASS,Medieval,1066,1540,"""Part of medieval brass buckle""",Summary,496779,371848,,,,,,,,,,,,Chance find,The Collection,90.7
POINT (-0.536774421726149 53.2358006960144),0C77C1A1-1F4D-42AC-9FB4-B2E8584F8B08,,Lincoln Heritage Database Event No,1525,,"""Roman Pottery, 18 James Street""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman pottery, including samian ware, and possible pre-Roman sherds, were found in the cellar during drainage works. Also a Roman bronze coin of Laelianus AD 267. Obverse; IMP C LAELIANVS (P F AVG).  Reverse VICTORIA AVG""",Summary,497759,371973,"""Obverse: IMP C LAELIANVS (P F AVG).  Reverse: VICTORIA AVG""",Latin,,Roman,,,,,,,,Chance find,The Collection,40.77
POINT (-0.532798818824081 53.2420805319509),0DC9DC4C-5E0F-466D-AD42-B6BDC427F398,,Lincoln Heritage Database Event No,1603,,"""Roman Jar, 43 Broadway""",Primary,JAR,CERAMIC,Roman,0043,0410,"""RB small jar. Grave group from cremation burial""",Summary,498010,372677,,,,,,,,,,,,Chance find,The Collection,18.53
POINT (-0.542644035570368 53.2367985324248),0E6C298C-B6A1-45F0-9B6B-4B0877842AF0,,Lincoln Heritage Database Event No,1595,,"""Roman Samian Ware, Cuthberts Yard Burton Road""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Samian ware including portion stamp MAC[ and small brooch with pin and catchplate missing""",Summary,497365,372076,,,,,,,,,,,,Chance find,The Collection,20.4
POINT (-0.566809180661011 53.2225553160177),0EBE2946-5FCF-4018-BE12-A96D0E2E18A1,,Lincoln Heritage Database Event No,7201,,"""Roman Pottery Sherds, Oak Farm, Swanpool""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman greyware rims and body sherds, found on newly ploughed land near Oak Farm, Swanpool.""",Summary,495784,370459,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.540857048278107 53.2307446284378),106ECC91-A1B3-4799-B6D3-DC3B1BF3DAEB,,Lincoln Heritage Database Event No,1521,,"""Pedestal, Monsons Arms Tap""",Primary,ARCHITECTURAL FRAGMENT,STONE,Uncertain,,,"""Pedestal found (?when the pub was being rebuilt in 1903/4?)""",Summary,497498,371405,,,,,,,,,,,,Chance find,The Collection,471.11
POINT (-0.544104505121711 53.222900424097),10B7B362-9A1A-4A25-A54E-086E2866103C,,Lincoln Heritage Database Event No,1427,,"""Roman Urn, John OGaunts""",Primary,URN,CERAMIC,Roman,0043,0410,"""Roman urn 3 3/4 inches high (95mm)""",Summary,497299,370528,,,,,,,,,,,,Chance find,The Collection,9274.06
POINT (-0.534790694796792 53.2311466646226),11352814-23A0-4C03-B671-8FAFDB4E9493,,Lincoln Heritage Database Event No,1488,,"""Roman Inscription, School of Art""",Primary,INSCRIBED OBJECT,STONE,Roman,0043,0410,"""Fragment of Roman inscription. RIB 269. TMA 41 78""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,1172.08
POINT (-0.511119580552265 53.2358875550686),119E6EF4-540A-4D4F-B7CC-1FD3F5F87369,,Lincoln Heritage Database Event No,10630,,"""Roman Coin, Greetwell Road allotments""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, an AE 3/4 of Constantine I, AD307-337.  LRBC 531. Exact location not recorded in Archaeological Notes""",Summary,499471,372018,,,,,,,,,,,,Chance find,The Collection,39.72
POINT (-0.536639893909251 53.2362305470607),11F40D28-824B-455E-A2CB-D860217B6481,,Lincoln Heritage Database Event No,1561,,"""Post Medieval Tiles, Burghersh Chantry""",Primary,TILE,TILE,Post Medieval,1540,1901,"""Four 18th century delft tiles from fireplace""",Summary,497767,372021,,,,,,,,,,,,Chance find,The Collection,19.68
POINT (-0.538897107779035 53.2302261897842),135B36DF-0945-4391-914E-4CC354CDC33F,,Lincoln Heritage Database Event No,10609,,"""Roman Coin, Aquis House, Butchery Court""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, an as of Trajan, AD 98-117, RIC No 393""",Summary,497630,371350,,,,,,,,,,,,Chance find,,
POINT (-0.542900523266537 53.2270389263122),13AA4461-E474-475C-A065-345C39E65132,,Lincoln Heritage Database Event No,1513,,"""Medieval Cistercian Ware Cup, Holmes Grain Warehouse""",Primary,CUP,CERAMIC,Medieval,1066,1540,"""Two handled Cistercian ware cup with mottled glaze""",Summary,497370,370990,,,,,,,,,,,,Chance find,The Collection,23.74
POINT (-0.539827417336686 53.2297431596142),140E9252-2FE0-4D5F-85F7-9D4D13860866,,Lincoln Heritage Database Event No,1566,,"""Roman Jug Neck, St Peter at Arches""",Primary,JUG,CERAMIC,Roman,0043,0410,"""Roman jug neck in form of female face""",Summary,497569,371295,,,,,,,,,,,,Chance find,The Collection,358.37
,140E9252-2FE0-4D5F-85F7-9D4D13860866,,,,,,Primary,SHERD,CERAMIC,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
POINT (-0.53777885775271 53.2300686428939),14B1BA96-E95B-40BC-8367-AF10D3A8913C,,Lincoln Heritage Database Event No,1482,,"""Roman Tear Bottle, Co-op Silver Street""",Primary,LACHRYMATORY (RELIGIOUS),GLASS,Roman,0043,0410,"""Tear bottle""",Summary,497705,371334,,,,,,,,,,,,Chance find,The Collection,140.08
POINT (-0.536765917051677 53.235171317171),156CFDE6-3C51-4BDF-9672-DBAC11017F2A,,Lincoln Heritage Database Event No,578,,"""Late Roman Pottery, Eastgate""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""4th century Roman pottery found in Eastgate""",Summary,497761,371903,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.5441502970499 53.2224335219094),173C0D0C-49FD-4288-9B8F-7E59B328F65A,,Lincoln Heritage Database Event No,560,,"""Roman Cremation Burial, High Street near John OGaunts""",Primary,CINERARY VESSEL,CERAMIC,Roman,0043,0410,"""Roman urn with cremated human bone found near St Marys Guildhall""",Summary,497297,370476,,,,,,,,,,,,Chance find,The Collection,
,173C0D0C-49FD-4288-9B8F-7E59B328F65A,,,,,,Primary,HUMAN REMAINS,Bone,Roman,0043,0410,,Summary,,,,,,,,,,,,,,,,
POINT (-0.544104505121711 53.222900424097),17C9860E-1FDA-4448-8271-4BBE7941ED84,,Lincoln Heritage Database Event No,1430,,"""Roman Urn, John OGaunts""",Primary,URN,CERAMIC,Roman,0043,0410,"""Roman urn 3 1/4 inches high""",Summary,497299,370528,,,,,,,,,,,,Chance find,The Collection,9278.06
POINT (-0.543817353821594 53.2132600095041),18B3B76C-0FC0-4F2A-BEE6-DD74CE407785,,Lincoln Heritage Database Event No,305,,"""Medieval Pottery, Malandry Closes""",Primary,SHERD,CERAMIC,Medieval,1066,1540,"""Whilst digging work for allotments was undertaken a quantity of medieval pottery was recovered by C F Popple 8 Henley Street Lincoln""",Summary,497340,369456,,,,,,,,,,,,Chance find,The Collection,63.77
POINT (-0.525057456337279 53.2379756228564),1BB71A8A-0878-48F7-A93E-0905AFFF2B86,,Lincoln Heritage Database Event No,1564,,"""Roman Flagon, 95 Wragby Road""",Primary,FLAGON,CERAMIC,Roman,0043,0410,"""Flagon in buff ware, probably cremation burial""",Summary,498536,372231,,,,,,,,,,,,Chance find,The Collection,56.36
POINT (-0.538641070144649 53.2430242859105),1C38E8F9-F847-4C4E-B7A7-71D950E0F741,,Lincoln Heritage Database Event No,1590,,"""Roman Cinerary Urn, Anti-Airforce HQ Newport""",Primary,CINERARY VESSEL,CERAMIC,Roman,0043,0410,"""RB buffware cinerary urn""",Summary,497618,372774,,,,,,,,,,,,Chance find,The Collection,21.38
POINT (-0.510296438033476 53.231975755223),1C963F76-1DB8-48B9-8CA4-49473FB1B78B,,Lincoln Heritage Database Event No,1555,,"""Roman Architectural Fragment, 29 Jellicoe Avenue""",Primary,INSCRIBED OBJECT,STONE,Roman,0043,0410,"""Part of a Roman inscribed stone""",Summary,499535,371584,,,,,,,,,,,,Chance find,The Collection,53.32
POINT (-0.543410812080979 53.2221547975838),1D2EC2DE-BCA2-428B-B244-87EB65DAA58E,,Lincoln Heritage Database Event No,614,,"""Roman Tombstone, Sibthorp Street""",Primary,TOMBSTONE,STONE,Roman,0043,0410,"""A Roman tombstone was found within a pit.""",Summary,497347,370446,,,,,,,,,,,,Chance find,The Collection,26.1
POINT (-0.534790694796792 53.2311466646226),1DD1CA1C-A5F2-4FF8-B3D1-D2157E3F8DAF,,Lincoln Heritage Database Event No,1462,,"""Pitcher Handle, School of Art""",Primary,SHERD,CERAMIC,Uncertain,,,"""Twisted handle of large pitcher""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9631.06
,1DD1CA1C-A5F2-4FF8-B3D1-D2157E3F8DAF,,,,,,Primary,PITCHER,CERAMIC,Uncertain,,,,Summary,,,,,,,,,,,,,,,,
POINT (-0.550390574608019 53.2137356891824),1E78588F-0DCC-495B-A538-3A6C51E6BC51,,Lincoln Heritage Database Event No,10644,,"""Roman Grey Ware, Upper Witham bank""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Find of Roman grey ware pottery in the dredged upcast from the Witham on its east bank. Exact location not recorded in Archaeological Notes""",Summary,496900,369500,,,,,,,,,,,,Chance find,,
POINT (-0.534790694796792 53.2311466646226),20820E2A-E21F-4882-8433-5E2C1AFA398C,,Lincoln Heritage Database Event No,1465,,"""Roman Jars, School of Art""",Primary,JAR,CERAMIC,Roman,0043,0410,"""Roman jars""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9638.06
POINT (-0.576953527776451 53.1975868183448),212ABF26-9707-430E-A0D8-4B7DE65B5864,,Lincoln Heritage Database Event No,10645,,"""Roman Coin, 60 Swallowbeck Avenue""",Primary,COIN,METAL,Roman,0043,0410,"""Find in a garden of Roman coin, a dupondius of Antoninus Pius, AD138-161. Obverse: ANTONIN AVG PIVS PP TR P II ?I;  Reverse: ANNONA AVG""",Summary,495162,367668,"""Obverse: ANTONIN AVG PIVS PP TR P II ?I;  Reverse: ANNONA AVG""",,,,,,,,,,,Chance find,,
POINT (-0.561411418185741 53.1909725814993),22F23173-C99E-4C86-B95D-EEECC2F5FE0C,,Lincoln Heritage Database Event No,1642,,"""Medieval pottery, 229 Calder Road""",Primary,SHERD,CERAMIC,Medieval,1066,1540,"""Unusual fragment of medieval pottery""",Summary,496215,366953,,,,,,,,,,,,Chance find,The Collection,81.77
POINT (-0.544037456685914 53.2248773265863),2302A3C8-0914-4215-BEB6-3A62C8D99581,,Lincoln Heritage Database Event No,648,,"""Roman and Medieval Pottery, St Marks Station""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman, Late-Saxon and post-medieval pottery was found by chance. Exact location unknown""",Summary,497299,370748,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.549858662133048 53.2325894780359),242AC109-AA6C-41A2-8BDE-462EDE792B50,,Lincoln Heritage Database Event No,7878,,"""Memorial Tablet, Newland""",Primary,TOMBSTONE,STONE,Uncertain,,,"""Report of finding of a memorial tablet. Thomas Cooper owned 64 Newland Street West (Cabbage Hall) and land to the north.""",Summary,496893,371598,,,,,,,,,,,,Chance find,British Museum,
POINT (-0.534790694796792 53.2311466646226),24D6A31A-3E92-4858-8001-0F048FD193A7,,Lincoln Heritage Database Event No,1443,,"""Pipkin, School of Art""",Primary,PIPKIN,CERAMIC,Uncertain,,,"""Pipkin""",Summary,497902,371458,,,,,,,,,,,,Chance find,The Collection,9603.06
POINT (-0.509807858429569 53.2309448255213),26B2ED3B-32F8-4838-899A-36C3503020D1,,Lincoln Heritage Database Event No,1551,,"""Roman Box Tile, Greetwell Villa""",Primary,TILE,TILE,Roman,0043,0410,"""Roman box tile used in aqueductor drain inscribed with graffito LIBIIRIISTO. See Rutland and Stamford Mercury 22/01/26""",Summary,499570,371470,"""LIBIIRIISTO""",Latin,,Roman,,,,,,,,Chance find,The Collection,827.26
POINT (-0.53937573546696 53.2289285579254),2751B04E-A991-4267-8D86-02C4B039BE83,,Lincoln Heritage Database Event No,1630,,"""Stone Hammer, Saltergate (Woolworths site)""",Primary,HAMMER,STONE,Prehistoric,-1000000,0043,"""Stone hammer with hour-glass perforation""",Summary,497601,371205,,,,,,,,,,,,Chance find,The Collection,38.61
POINT (-0.556969022551008 53.2100488627854),278784D0-848D-4DE3-A453-FFD95A59B745,,Lincoln Heritage Database Event No,1669,,"""Roman pottery Sherds, St Helens Churchyard""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Roman pottery sherds from the Roman kiln""",Summary,496469,369081,,,,,,,,,,,,Chance find,The Collection,75.82
POINT (-0.544594206639116 53.2217107820783),27FCBBAB-6F15-4215-8FBF-C35D2F550DA1,,Lincoln Heritage Database Event No,612,,"""Architectural Fragments, Alfred Street""",Primary,ARCHITECTURAL FRAGMENT,STONE,Uncertain,,,"""A confused collection of extremely large stones was found on the south corner of Alfred Street with High Street.  Drury thought this was part of a masons stoneyard. Richmond suggests ""the remains of an important (Roman) monumental tomb scattered by medieval stone robbers"". The date was probably the construction of Alfred Street c1858; the problem with that is that the JRSA report is 1890. Possibly during insertion of water pipes.""",Summary,497269,370395,,,,,,,,,,,,Chance find,The Collection,
POINT (-0.539616833223335 53.2306485333098),2882DA7E-6DE9-4B0F-A19E-EF8C5AC9A8CF,,Lincoln Heritage Database Event No,1644,,"""Post Medieval pottery, Boots old premises High Street""",Primary,SHERD,CERAMIC,Post Medieval,1540,1901,"""Post-med pottery and bone""",Summary,497581,371396,,,,,,,,,,,,Chance find,The Collection,103.77
POINT (-0.551574413987522 53.2416808612279),29314FEB-9A5D-4131-9FE8-8EA9DEFC1A61,,Lincoln Heritage Database Event No,1594,,"""Medieval Green Glazed Jug and Pitcher, Albion Brick Works Long Leys Road""",Primary,JUG,CERAMIC,Medieval,1066,1540,"""Large medieval green-glazed jug and bunghole pitcher lacking handle""",Summary,496758,372607,,,,,,,,,,,,Chance find,The Collection,29.39
,29314FEB-9A5D-4131-9FE8-8EA9DEFC1A61,,,,,,Primary,PITCHER,CERAMIC,Medieval,1066,1540,,Summary,,,,,,,,,,,,,,,,
POINT (-0.509807858429569 53.2309448255213),296E34BC-E96B-41F5-AD08-4C6F9A3D9646,,Lincoln Heritage Database Event No,1531,,"""Roman Plaster Pieces, Greetwell Villa""",Primary,WALL PLASTER,PLASTER,Roman,0043,0410,"""Roman plaster pieces""",Summary,499570,371470,,,,,,,,,,,,Chance find,The Collection,305.12
POINT (-0.542877815174964 53.225501420073),29E0CA40-51EC-4451-9032-A6C7133ACC7E,,Lincoln Heritage Database Event No,1503,,"""Architectural Fragments, St Marks Church""",Primary,ARCHITECTURAL FRAGMENT,STONE,Medieval,1066,1540,"""Carved stones from the church prior to 19th century rebuild. Includes various Saxon and Norman pieces, including grave slab""",Summary,497375,370819,,,,,,,,,,,,Chance find,The Collection,29.72
POINT (-0.538384360512485 53.2136070258124),29F737A9-B570-4AE1-BF5B-AAD51522AD3A,,Lincoln Heritage Database Event No,10632,,"""Roman Coin, South Common""",Primary,COIN,METAL,Roman,0043,0410,"""Find of Roman coin, an AE 3 of Constantine I, AD307-337. Reverse: BEATA TRANQVILITAS.  Exact location not recorded in Archaeological Notes""",Summary,497702,369502,"""Reverse: BEATA TRANQVILITAS""",,,,,,,,,,,Chance find,The Collection,40.72
POINT (-0.539827417336686 53.2297431596142),2CB1D589-4B67-415A-86BC-2BFBAE2A7C60,,Lincoln Heritage Database Event No,1591,,"""Roman Samian Ware, St Peter at Arches""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Decorated Samian ware. Form 37""",Summary,497569,371295,,,,,,,,,,,,Chance find,The Collection,61.38
POINT (-0.510753801868475 53.2308847305668),2CE93F62-0DE8-4D42-B346-704185BEA84D,,Lincoln Heritage Database Event No,326,,"""Roman Pottery and medieval small finds, 366 Monks Road""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""A quantity of Roman and medieval pottery, a late Saxon crucible and a small bronze strap distributor were found here""",Summary,499507,371462,,,,,,,,,,,,Chance find,The Collection,49.77
,2CE93F62-0DE8-4D42-B346-704185BEA84D,,,,,,Primary,CRUCIBLE,CERAMIC,Early Medieval,0410,1066,,Summary,,,,,,,,,,,,,,,,
,2CE93F62-0DE8-4D42-B346-704185BEA84D,,,,,,Primary,STRAP FITTING,BRONZE,Uncertain,,,,Summary,,,,,,,,,,,,,,,,
POINT (-0.53777885775271 53.2300686428939),2D0AF463-C1F2-4B48-987E-6904D40C5911,,Lincoln Heritage Database Event No,1485,,"""Steel Striker, Co-op Silver Street""",Primary,STRIKE A LIGHT,STEEL,Uncertain,,,"""Steel striker""",Summary,497705,371334,,,,,,,,,,,,Chance find,The Collection,241.08
POINT (-0.509807858429569 53.2309448255213),2E3E3189-5D6D-4E8A-8746-518DB8C90BFF,,Lincoln Heritage Database Event No,1532,,"""Roman Plaster Pieces, Greetwell Villa""",Primary,WALL PLASTER,PLASTER,Roman,0043,0410,"""Roman plaster pieces""",Summary,499570,371470,,,,,,,,,,,,Chance find,The Collection,306.12
