WKT,ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Site Name,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,Location of Archive,Archive Reference Number,Compiler,Date of Compilation,Date of Last Update
POINT (-0.536160041283923 53.2296532290794),e6b500ac-ab66-4be1-92b5-ec2bc2302e09,11,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 2 of ten. Area ii. Below the cellar of the demolished 17 Broadgate""",Summary,1973-07-02,1973-09-29,497814,371290,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.535724843696485 53.2296748525852),6d2faca0-6a3e-4fa4-be2c-2c3291339913,12,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 3 of ten. Area iii. This area was not excavated.""",Summary,1973-07-02,1973-09-29,497843,371293,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.536291446155817 53.2297537288623),d2801504-b6aa-427c-805c-f2a073704805,13,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 4 of ten. Area iv. This area was not excavated.""",Summary,1973-07-02,1973-09-29,497805,371301,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.536199449986724 53.2298155266367),c72b3b5a-b722-41f7-8751-c026d02a2e4e,14,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 5 of ten. Area v, within the cellars of the demolished 19-23 Broadgate""",Summary,1973-07-02,1973-09-29,497811,371308,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.535853182089996 53.2298652116264),24fd8ccf-af38-4984-9b9b-05e9198dde29,15,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 6 of ten. Area vi""",Summary,1973-07-02,1973-09-29,497834,371314,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.535386549262906 53.2294909034),32a4149b-3eec-4734-a0a2-2f89aa450585,16,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 7 of ten. Area vii. This area was not excavated, but was in the cellars of the demolished 5-9 Friars Lane.""",Summary,1973-07-02,1973-09-29,497866,371273,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.53538808249018 53.229445974014),c5c32919-046e-4d93-8050-6835c575423e,17,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 8 of ten. Area viii. This area was not excavated, but was in the cellars of the demolished 5-9 Friars Lane.""",Summary,1973-07-02,1973-09-29,497866,371268,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.536283519612543 53.2295468697179),edc66077-a677-4a75-9b90-8f6199ef46b3,18,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 9 of ten. Area ix. In the cellar of the demolished 15-16 Broadgate.""",Summary,1973-07-02,1973-09-29,497806,371278,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.536285358361771 53.2294929544336),0e80911f-fbef-4107-b192-f9c6f9c4c904,19,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 10 of ten. Area x. Cellar of the demolished 14 Broadgate.""",Summary,1973-07-02,1973-09-29,497806,371272,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.537682976898038 53.2429945581248),e79e1f9f-44e2-4878-8fed-bbd06c253175,20,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Newport""",Primary,"""Bishop Grosseteste 1976""",EXCAVATION,"""Excavation site""",Summary,1976-01-01,1977-12-31,497682,372772,Lincoln City and County Museum,,Michael Dore,1995-01-16,1999-03-25
POINT (-0.546284768771194 53.229732191668),2bf0ee82-d5c6-4ea6-a582-93c96d8d0827,21,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Brayford Wharf North""",Primary,"""Brayford North""",EXCAVATION,"""Excavation site in advance of the construction of the Holiday Inn Hotel. There were 13 areas of investigation, Trenches 1-6 and Test Trenches 1-7.""",Summary,1989-10-12,1990-01-17,497138,371285,Lincoln City and County Museum,2006.169,Michael Dore,1995-01-16,2013-09-13
POINT (-0.536225076678432 53.2334566459723),e371ad83-2716-481e-8c3b-adf7ba449e49,22,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Old Bishops Palace""",EXCAVATION,"""Excavation site""",Summary,1989-12-11,1989-12-14,497801,371713,Lincoln City and County Museum,,Michael Dore,1995-01-16,1996-01-02
POINT (-0.553158474500826 53.2209250796017),8a355d69-c731-45c2-8096-db51d32b6273,23,Lincoln Heritage Database Events,,Investigative Activity,"""Geotechnical Test Pit at Railway Park Close, Boultham Park Road""",Primary,"""Boultham Park Road (former Primary School)""",GEOTECHNICAL TEST PIT,"""Excavation site""",Summary,1992-05-20,1992-05-20,496699,370296,Lincoln City and County Museum,35.98,Michael Dore,1995-01-16,2013-09-13
POINT (-0.544461632936605 53.2251791654762),9a114840-7a9a-4ff9-a6fb-02a19fdcdf82,24,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at High Street""",Primary,"""British Rail St Marks [trial trench] 1985""",EXCAVATION,"""Excavation of one trial trench. Treated as Area 9 in the site report.""",Summary,1985-03-25,1985-04-04,497270,370781,Lincoln City and County Museum,2000.58,Michael Dore,1995-01-16,2013-09-13
POINT (-0.543744532511022 53.2264469352196),5425c7d4-3375-472b-88ec-c6af0d166ee0,25,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Brayford Wharf East""",Primary,"""Brayford Wharf East 1982""",EXCAVATION,"""Excavation site in advance of the construction of the Lincolnshire Echo building, consisting of a single trench 55m x 2.5m dug down from an existing basement.""",Summary,1982-03-01,1982-05-01,497315,370923,Lincoln City and County Museum,87.99,Michael Dore,1995-01-16,2013-09-13
POINT (-0.543706833476975 53.2288826665825),6a2a88ee-7b63-4bb7-b2fc-c1a1447ded63,26,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Brayford Wharf North""",Primary,"""Brayford Wharf North 1975""",EXCAVATION,"""Excavation site consisting of two north-south running trenches (Trenches 1 and 2) and a short W-E extension to Trench 1 (Trench 1a). This was in advance of the construction of a supermarket (MON1681)""",Summary,1975-12-01,1975-12-01,497312,371194,Lincoln City and County Museum,2000.64,Michael Dore,1995-01-16,2006-10-23
POINT (-0.523559883280921 53.2466590557258),95973a6f-7ea9-443d-9f9a-d2aadcaa3073,27,Lincoln Heritage Database Events,,Investigative Activity,"""Geotechnical Test Pit at Cabourne Avenue""",Primary,"""Cabourne Avenue""",GEOTECHNICAL TEST PIT,"""Excavation site""",Summary,1991-01-09,1991-01-09,498616,373199,Lincoln City and County Museum,2006.79,Michael Dore,1995-01-16,2013-09-13
POINT (-0.540675844423976 53.235192279011),aa93ce4b-62a3-413b-94ad-46262989e726,28,Lincoln Heritage Database Events,,Investigative Activity,"""Test Pit at Lincoln Castle""",Primary,"""Lincoln Castle""",TEST PIT,"""Archaeological Evaluation by means of Trial Pits in advance of electricity cable trenching, and Watching Brief on the cabling trenches themselves. 13 Trial Pits were excavated, Trial Pits 1-13. For the Archaeological monitoring and recording (Watching Brief), the site was divided into seven areas, Areas A-G.""",Summary,1991-08-08,1993-04-01,497500,371900,Lincoln City and County Museum,2005.221,Michael Dore,1995-01-16,2013-09-13
POINT (-0.542308059394936 53.2356617313596),b4b7af52-528d-489a-83fd-ef7cc1022865,29,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Castle Floodlighting (watching brief)""",WATCHING BRIEF,"""Excavation site""",Summary,1993-02-04,1993-02-04,497390,371950,Lincoln City and County Museum,2005.224,Michael Dore,1995-01-16,2013-09-16
POINT (-0.540347573140452 53.2342713172939),e6a0a5d4-2999-4ca5-916d-6b600502eee9,30,Lincoln Heritage Database Events,,Investigative Activity,"""Geotechnical Test Pit at Lincoln Castle""",Primary,"""Observatory Tower Lincoln Castle""",GEOTECHNICAL TEST PIT,"""Excavation site""",Summary,1993-09-20,1993-09-24,497524,371798,Lincoln City and County Museum,63.93,Michael Dore,1995-01-16,1996-01-03
POINT (-0.540169075058387 53.2342331728856),77544491-8f54-4f5c-b908-25a1f9be2c27,31,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Lincoln Castle""",Primary,"""Castle Observatory Tower""",BUILDING SURVEY,"""Site of photographic and graphic survey""",Summary,1992-07-01,1992-07-01,497536,371794,Lincoln City and County Museum,2005.222,Michael Dore,1995-01-16,2013-09-13
POINT (-0.535486530888995 53.2344634035758),6e7016bb-ee60-48b6-b2d9-e24bd05c4bbf,32,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Lincoln Cathedral 1986""",EXCAVATION,"""Excavation site in the lawn area between the Chapter House, Angel Choir and the north-east transept, carried out in order to expose the foundations of a chapel""",Summary,1986-07-01,1986-10-01,497848,371826,Lincoln City and County Museum,2000.232,Michael Dore,1995-01-16,2013-09-13
POINT (-0.541001056462716 53.2348816228374),552feb82-2178-4dcb-8397-e0ca5fda261e,33,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Castle Banks (Stabilisation Survey)""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during engineering work to assess the stability of the Castle walls and bank.""",Summary,1990-05-08,1990-06-10,497479,371865,Lincoln City and County Museum,2005.22,Michael Dore,1995-01-16,2013-09-13
POINT (-0.542433961466587 53.2350429865097),133bf25c-6fc4-442a-bf1f-c67db74ef35d,34,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Castle Banks (Stabilisation Survey)""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) site""",Summary,1993-01-01,1993-12-31,497383,371881,Lincoln City and County Museum,69.98,Michael Dore,1995-01-17,2013-09-16
POINT (-0.535964698044615 53.2331837590952),3b4e8f1d-dd85-4be5-b4bd-029b8d789636,35,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard, Bishops Palace""",Primary,"""Chapel courtyard 1975""",EXCAVATION,"""DoE excavation site""",Summary,1975-08-17,1975-09-01,497819,371683,Lincoln City and County Museum,,Michael Dore,1995-01-17,1996-01-04
POINT (-0.539687625456236 53.2373736466742),b5a60f1f-0e0a-4b0e-8549-5734dd9d552f,36,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Cecil Street""",Primary,"""Cecil Street 1975""",EXCAVATION,"""Archaeological excavation site""",Summary,1975-01-01,1975-12-31,497561,372144,Lincoln City and County Museum,2000.233,Michael Dore,1995-01-17,2013-09-13
POINT (-0.539689154619149 53.2373287172619),db48abdc-aff1-4544-8e12-99e79cb7f0ab,37,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Cecil Street""",Primary,"""Cecil Street (Mary Sookias House)""",BUILDING SURVEY,"""Survey site""",Summary,1992-08-11,1992-08-01,497561,372139,Lincoln City and County Museum,2005.198,Michael Dore,1995-01-17,2013-09-13
POINT (-0.535243528465601 53.2345593038262),0e127cd2-a7c6-472b-8f94-f71b9cf284b7,38,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Lincoln Cathedral Chapter House  1983""",EXCAVATION,"""Archaeological excavation site, consisting of two trenches, Trenches 1 and 2""",Summary,1983-03-22,1983-03-25,497864,371837,Lincoln City and County Museum,2000.83,Michael Dore,2013-09-13,2006-12-11
POINT (-0.519266776168419 53.2299210180864),0e9b54fd-a8e3-402c-a708-4fab7e7dd0a0,39,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Winn Street""",Primary,"""74A Winn Street""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of foundation trenches for the construction of three dwellings.""",Summary,1996-11-01,1997-03-17,498941,371343,Lincoln City and County Museum,7.97,John Herridge,1999-03-25,2008-12-19
POINT (-0.540422137809694 53.2272333441192),74e9a008-a7aa-4801-99bb-517ef9a5b194,40,Lincoln Heritage Database Events,,Investigative Activity,"""Geotechnical Test Pit at Cornhill""",Primary,"""Halifax Building 18 Cornhill""",GEOTECHNICAL TEST PIT,"""Archaeological excavation site.""",Summary,1993-12-08,1993-12-08,497535,371015,Lincoln City and County Museum,71.93,Michael Dore,1995-01-17,1996-01-04
POINT (-0.539714232306168 53.2365918748465),c4f3ba13-550a-40de-a538-92f1b649fb64,41,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Chapel Lane""",Primary,"""Chapel Lane 1985""",EXCAVATION,"""Archaeological excavation site in advance of the construction of St Clements Court sheltered housing. There were two trenches, Trenches 1 and 2.""",Summary,1985-08-01,1985-08-01,497561,372057,Lincoln City and County Museum,2000.235,Michael Dore,1995-01-17,2013-09-13
POINT (-0.539793401265321 53.2364669898357),f0f25cfb-6855-4ef8-9e46-b8d02792f892,42,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Chapel Lane""",Primary,"""Chapel Lane 1985""",EXCAVATION,"""Archaeological excavation site in advance of the construction of St Clements Court sheltered housing. There were two trenches, Trenches 1 and 2. Trench 1 c 1.75m x  2m""",Summary,1985-08-01,1985-08-01,497556,372043,Lincoln City and County Museum,2000.235,Michael Dore,1995-01-17,2013-09-13
POINT (-0.533967057245616 53.2350829900565),23851b3f-8368-425e-abaf-6a5449053a86,43,Lincoln Heritage Database Events,,Investigative Activity,"""Building Survey at Close""",Primary,"""Close Wall""",BUILDING SURVEY,"""Survey site""",Summary,1992-02-18,1993-05-14,497948,371897,Lincoln City and County Museum,2005.33,Michael Dore,2013-09-13,1998-12-21
POINT (-0.535907980528845 53.2348461455074),7ea011ee-f221-42ae-8bdf-b7d629e38591,44,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Lincoln Cathedral North""",EXCAVATION,"""Archaeological excavation site.""",Summary,1989-01-23,1989-01-26,497819,371868,Lincoln City and County Museum,2005.219,Michael Dore,1995-01-17,2013-09-13
POINT (-0.53709915604378 53.2341865473286),ba542881-8326-425d-9e47-07e103d30509,45,Lincoln Heritage Database Events,,Investigative Activity,"""Architectural Survey at Minster Yard""",Primary,"""Lincoln Cathedral gift shop""",ARCHITECTURAL SURVEY,"""Recording site""",Summary,1994-01-18,1994-01-18,497741,371793,Lincoln City and County Museum,16.94,Michael Dore,1995-01-17,1996-10-01
POINT (-0.536058407499968 53.2343895215267),b05ea42c-d6f9-4fa0-a79e-ddcd10e50b36,46,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Lincoln Cathedral Other Works""",EXCAVATION,"""Excavation and Watching brief site on groundworks for the laying of new electricity cabling, internally across the transepts and nave, and externally across Deans Green, the Cathedral School yard and the west front. The  trenching was 0.8m-1m wide x 0.3m-0.6m deep""",Summary,1992-02-10,1992-09-01,497810,371817,Lincoln City and County Museum,2005.223,Michael Dore,1995-01-17,2013-09-13
POINT (-0.539437496016934 53.2275538994622),fc8ae3fd-b662-48f6-89eb-fd7714de0866,47,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Cornhill""",Primary,"""Corn Exchange Building""",WATCHING BRIEF,"""Excavation site""",Summary,1993-10-25,1993-10-25,497600,371052,Lincoln City and County Museum,55.93,Michael Dore,1995-01-17,1996-01-04
POINT (-0.537327322882923 53.2362839321644),6ce6730d-4323-448c-a55c-b157c4d68dab,48,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Bailgate/Cottesford Place/James Street""",Primary,"""Cottesford Place 1956-58""",EXCAVATION,"""Excavation site. See also RE1620 Archive ref 65.58, RE1639 Archive ref 37.77""",Summary,1956-01-01,1958-12-31,497721,372026,Lincoln City and County Museum,,Michael Dore,1995-01-17,2010-08-06
POINT (-0.5419704525425 53.223548560798),59c3ee28-07ff-4463-a0f2-3ffe032b7329,49,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Chaplin Street""",Primary,"""Chaplin Street 1973""",EXCAVATION,"""Excavation site consisting of one east-west trench c 16m long in advance of the laying down of a surface car park.""",Summary,1973-01-01,1973-12-31,497440,370603,Lincoln City and County Museum,144.99,Michael Dore,1995-01-17,2013-09-11
POINT (-0.542011567924662 53.2355682090393),998a419b-bd11-4d3f-b0fe-e316b5b77ee9,50,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Lincoln Castle""",Primary,"""Castle West Gate 1986-89""",EXCAVATION,"""Excavation site""",Summary,1986-01-01,1989-12-31,497410,371940,Lincoln City and County Museum,2002.104,Michael Dore,1995-01-17,2013-09-13
POINT (-0.542383250839918 53.2356536611902),fa5d4e25-bc74-4adb-8868-c2f34c682351,51,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Lincoln Castle""",Primary,"""Castle West Gate 1982""",EXCAVATION,"""Excavation and survey site.""",Summary,1982-01-01,1982-12-31,497385,371949,Lincoln City and County Museum,2002.103,Michael Dore,1995-01-17,2013-09-13
POINT (-0.542250897934654 53.2355801256865),998a0ecc-3736-41ba-accb-b134c4173440,53,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Lincoln Castle""",Primary,"""Castle West Gate 1992""",WATCHING BRIEF,"""Event site""",Summary,1993-01-05,1993-01-14,497394,371941,Lincoln City and County Museum,2002.105,Michael Dore,1995-01-17,2013-09-13
POINT (-0.542225901100929 53.2371979529493),55cca0dc-39a0-4d4d-8d60-da4499bca3c6,54,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Cuthberts Yard/Burton Road""",Primary,"""Cuthberts Yard""",EXCAVATION,"""Excavation site""",Summary,1989-08-30,1990-08-01,497392,372121,Lincoln City and County Museum,2006.71,Michael Dore,1995-01-17,2013-09-13
POINT (-0.538682618224644 53.2365252951019),cc5fed69-4fce-48dc-80b8-784364e9ac27,55,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Bailgate""",Primary,"""37 Bailgate, outbuilding""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during alterations to outbuildings.           (No NGR is in report, and no precise location plan of outbuilding relative to site.)""",Summary,1996-11-04,1996-11-05,497630,372051,Lincoln City and County Museum,157.96,John Herridge,1999-03-25,
POINT (-0.536876614162256 53.2345613807125),d5e4c992-a394-4999-8146-4d6bfb98fa91,56,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Deans Green 1983""",EXCAVATION,"""Excavation site. A long continuous trench 0.75m wide x 0.75m deep was excavated to insert a lightning conductor connecting strip between the north-west and central towers. The site was divided into three areas, Trenches 1-3.""",Summary,1983-03-28,1983-04-11,497755,371835,Lincoln City and County Museum,2000.236,Michael Dore,1995-01-17,2013-09-13
POINT (-0.542823542824599 53.227541405053),0310c712-91b5-4b03-88ba-8233584fac8d,57,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Brayford Wharf East/Wigford Way""",Primary,"""Dickinsons Mill 1972""",EXCAVATION,"""Excavation site consisting of two trenches, Trench 1 and Trench 2,  on the site of the demolished Dickinsons Mill and buildings to the east, and in advance of the construction of 11-15 Brayford Wharf North (General Accident later RBS)""",Summary,1972-01-01,1973-12-31,497374,371046,Lincoln City and County Museum,152.99,Michael Dore,1995-01-19,2013-09-10
POINT (-0.542542080351004 53.2274480673693),cb2f12fb-e769-4776-912b-153482864fa2,58,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Brayford Wharf East/Wigford Way""",Primary,"""Dickinsons Mill 1972""",EXCAVATION,"""Excavation site consisting of two trenches, Trench 1 and Trench 2,  on the site of the demolished Dickinsons Mill and buildings to the east. Trench I. The size of the trench available for excavation was reduced to the eastern part, due to heavy modern disturbance and the high level of the water table. This smaller area was divided into two part in the site report""",Summary,1972-01-01,1973-12-31,497393,371036,Lincoln City and County Museum,152.99,Michael Dore,1995-01-19,2013-09-10
POINT (-0.538779994428594 53.2319058166529),907b14f4-e834-4343-b614-044f396e2820,59,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Danes Terrace""",Primary,"""Danes Terrace 1974-78 (dt74i)""",EXCAVATION,"""Area 1 of two in 1974 excavation. Area IA (on The Strait frontage)""",Summary,1974-01-01,1974-12-31,497634,371537,Lincoln City and County Museum,2006.1,Michael Dore,1995-01-07,2013-09-13
POINT (-0.537879603555839 53.2319487135044),9a39ba13-040d-4a45-aa1a-d9beaef86349,60,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Danes Terrace""",Primary,"""Danes Terrace 1974-78 (dt74ii)""",EXCAVATION,"""Area 2 of two in 1974 excavation. Area II (on Danes Terrace/Flaxengate south-west corner)""",Summary,1974-01-01,1974-12-31,497694,371543,Lincoln City and County Museum,2006.1,Michael Dore,1995-01-17,2013-09-13
POINT (-0.538595999573572 53.2320294159126),7eae8b27-b1d1-4f33-8cab-4d724b3b0d51,61,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Danes Terrace""",Primary,"""Danes Terrace 1974-78 (dt78)""",EXCAVATION,"""Area 1 of one in 1978 excavation. Area IB (on The Strait/Danes Terrace south-east corner)""",Summary,1978-01-01,1978-12-31,497646,371551,Lincoln City and County Museum,2006.1,Michael Dore,1995-01-17,2013-09-13
POINT (-0.53699897421939 53.2371249282805),aee1014d-dd10-4e58-a563-198cb81be0c6,62,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at East Bight""",Primary,"""East Bight 1966""",EXCAVATION,"""Excavation site""",Summary,1964-01-01,1966-12-31,497741,372120,Lincoln City and County Museum,,Michael Dore,1995-01-17,2013-09-16
