ResourceID,PRN Type,Protection Type,Heritage Asset Name,Description 1,Description Type 1,Description 2,Description Type 2,Entry Type,External Information System,External Information System PRN,Area Type,Evidence,Designation or Protection Type,Grade,Compiler (Organisation),Compiler (Person),Date of Compilation,Date of Last Update,GIS File,GIS REFERENCE FIELD,GIS REFERENCE,wkt
0160612e-4297-450f-b9e3-7591f558fb83,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.54206 53.22619,-0.54185 53.22615,-0.54194 53.22597,-0.54196 53.22594,-0.54201 53.22585,-0.54207 53.22574,-0.54214 53.22564,-0.54226 53.22543,-0.54231 53.22535,-0.54245 53.22515,-0.5426 53.22494,-0.54274 53.22472,-0.54288 53.22448,-0.54301 53.22425,-0.54306 53.22415,-0.54327 53.22382,-0.54348 53.22338,-0.54354 53.22324,-0.54368 53.22293,-0.54376 53.22275,-0.54381 53.22266,-0.54393 53.22244,-0.54395 53.22239,-0.54407 53.2221,-0.54431 53.22164,-0.5444 53.22144,-0.54459 53.22054,-0.54467 53.22023,-0.54501 53.22027,-0.54499 53.22035,-0.54485 53.22081,-0.54464 53.22144,-0.54457 53.22167,-0.5443 53.22227,-0.54418 53.22248,-0.54403 53.22282,-0.5438 53.22331,-0.54375 53.22341,-0.54356 53.22378,-0.54351 53.22387,-0.54328 53.22427,-0.54309 53.22457,-0.54296 53.22478,-0.54282 53.22499,-0.54266 53.22521,-0.54244 53.22556,-0.54232 53.22575,-0.54206 53.22619)))"
0160612e-4297-450f-b9e3-7591f558fb83,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.53829 53.25452,-0.53823 53.25344,-0.53824 53.25297,-0.53817 53.25074,-0.53789 53.24773,-0.5377 53.24444,-0.53823 53.24442,-0.53828 53.24662,-0.53843 53.24805,-0.53853 53.24994,-0.53865 53.25207,-0.5389 53.25456,-0.53829 53.25452)))"
0160612e-4297-450f-b9e3-7591f558fb83,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.55004 53.20798,-0.54972 53.20797,-0.54987 53.20768,-0.55031 53.20668,-0.55084 53.20555,-0.55114 53.2056,-0.55083 53.20633,-0.55034 53.20744,-0.55027 53.2076,-0.55004 53.20797,-0.55004 53.20798)))"
0160612e-4297-450f-b9e3-7591f558fb83,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.55004 53.20798,-0.54972 53.20797,-0.54987 53.20768,-0.55031 53.20668,-0.55084 53.20555,-0.55114 53.2056,-0.55083 53.20633,-0.55034 53.20744,-0.55027 53.2076,-0.55004 53.20797,-0.55004 53.20798)))"
0160612e-4297-450f-b9e3-7591f558fb83,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.55695 53.20206,-0.55734 53.20202,-0.55765 53.20198,-0.55821 53.20192,-0.55925 53.20179,-0.56041 53.20161,-0.56116 53.2015,-0.56151 53.20143,-0.5618 53.20136,-0.56212 53.20129,-0.56238 53.20124,-0.56292 53.20115,-0.56395 53.201,-0.56492 53.20081,-0.56557 53.20065,-0.56643 53.20046,-0.56719 53.20021,-0.56774 53.20002,-0.56796 53.19993,-0.56846 53.19971,-0.56877 53.19958,-0.56913 53.19942,-0.57 53.19904,-0.57086 53.19866,-0.57185 53.19827,-0.57317 53.19773,-0.57342 53.19763,-0.57463 53.19712,-0.57627 53.19644,-0.57798 53.19569,-0.57831 53.19585,-0.57766 53.19613,-0.57621 53.19669,-0.57515 53.19713,-0.57389 53.19767,-0.57309 53.19799,-0.57226 53.19833,-0.57156 53.19857,-0.57076 53.19889,-0.56998 53.19925,-0.56924 53.19959,-0.56865 53.19983,-0.56802 53.20012,-0.56707 53.20045,-0.5662 53.20067,-0.56534 53.20089,-0.56455 53.20104,-0.56408 53.20113,-0.5633 53.20127,-0.56262 53.20138,-0.56184 53.20153,-0.56139 53.20163,-0.56071 53.20175,-0.56025 53.20182,-0.55952 53.20192,-0.55876 53.20202,-0.55798 53.20211,-0.55723 53.20218,-0.5571 53.20219,-0.55691 53.20222,-0.55695 53.20206)))"
0160612e-4297-450f-b9e3-7591f558fb83,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.53826 53.23725,-0.53812 53.23724,-0.53812 53.23718,-0.53811 53.23715,-0.5381 53.23711,-0.53807 53.23705,-0.53806 53.23699,-0.53805 53.23694,-0.53804 53.23686,-0.53804 53.23683,-0.53804 53.23679,-0.53805 53.23668,-0.53806 53.2366,-0.53808 53.2365,-0.53811 53.23641,-0.53813 53.23634,-0.53815 53.23625,-0.53817 53.23618,-0.53823 53.23606,-0.53829 53.23594,-0.53834 53.23584,-0.53837 53.23578,-0.53842 53.23568,-0.53848 53.23553,-0.53849 53.23546,-0.5385 53.23536,-0.53849 53.23521,-0.53848 53.23516,-0.53846 53.23511,-0.53844 53.23504,-0.53842 53.23497,-0.5384 53.23491,-0.5384 53.2349,-0.53839 53.23488,-0.53836 53.23483,-0.53837 53.23481,-0.53838 53.23478,-0.5384 53.2347,-0.53842 53.23461,-0.53844 53.23453,-0.53846 53.23449,-0.53848 53.23443,-0.53861 53.23444,-0.53859 53.23451,-0.53856 53.23461,-0.53854 53.2347,-0.53855 53.23478,-0.53857 53.23488,-0.5386 53.23501,-0.53864 53.23515,-0.53867 53.23525,-0.53867 53.23528,-0.53865 53.23542,-0.53865 53.23551,-0.53865 53.23561,-0.53864 53.23565,-0.53856 53.23583,-0.5385 53.23595,-0.53846 53.23604,-0.53844 53.23611,-0.53841 53.23622,-0.53839 53.23634,-0.53836 53.23645,-0.53834 53.23658,-0.53833 53.2367,-0.53831 53.23681,-0.53829 53.23697,-0.53828 53.23711,-0.53828 53.23715,-0.53827 53.23725,-0.53826 53.23725)))"
022dc1dc-eb46-4955-80c5-c34b910eeed0,LARA RAZ AREA,,St Lawrence,"St Lawrence was, like St Martin‰Û¡ÌÝå»s (RAZ 10.60.38), a major church in the heart of the most prosperous area of the Early Modern city with elite support to match (ed. Foster 1914, 24-5, 150 etc.). As with St Martin, also, this church was quite a large and sophisticated building by the late Middle Ages. In particular, about 1297 the important chantry of Alexander son of John son of Martin was founded here (ed. Foster 1914, 25; Hill 1948, 152), and this chantry was the subject of further grants in the 14th century. The archaeological remains of this relatively well documented chantry will be of great interest and we should expect some modification of the fabric to accommodate it. In addition we also hear of a chapel of Sts Dunstan and Sebastian (ed. Foster 1914, 24-5), which probably had a detectable impact on the fabric, and the church was also the home of the Guild of St Lawrence (Westlake 1919, 166-75) which should also be visible in the archaeology. It is clear that St Lawrence will provide an excellent example of the liturgical layout of a major city church on the eve of the Reformation and may help in addressing questions about whether the Old Religion was in decline, or whether, in fact, it had widespread popular support (Duffy 1992). Despite its evident prosperity and support in the early 16th century, as in the case of St John Wigford, the City Council decided to use its new powers under the 1549 Act to liquidate the church between 1550 and 1552 (Stocker 1990, 21) and to make a profit out of its fabric and site. Once redundant the church was put to a variety of interesting and well documented uses by the city, which makes the study of the graveyard area in the post-Reformation period particularly interesting. It is clear that by 1613 the church, churchyard and 5 shops along the High Street were the city shambles and these structures merit detailed careful investigation in their own right (RAZ 10.22.7). Furthermore, it was not just the church buildings which were retained but also the steeple (until at least the early 18th century) and this prompts questions about what such a redundant structure might be used for outside an ecclesiastical context. Was it perhaps used for some specialised industrial purpose, or did is simply serve as a secular campanile (we should note that the parish clerk here was charged with ringing the city curfew in 1538 - HMC 1895, 36)? These questions might be answered through archaeological research.",Summary,"The church site is known, as it survived in use as a secular unit owned by the City Council after the Reformation. The RAZ includes the whole churchyard and is bounded on the north and east by the alley known at King‰Û¡ÌÝå»s Arms Yard (the width of which was inside the churchyard). To the south and west it is bounded by High Street and Clasketgate.",Boundary Description,,Lincoln Archaeological Resource Assessment,10.60.39,Research Agenda Zone,,,,,,,,LARA RAZs.shp,DRAWING,10.60.39,
022dc1dc-eb46-4955-80c5-c34b910eeed0,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.53969 53.23088,-0.53919 53.23083,-0.53923 53.23054,-0.53955 53.23053,-0.53967 53.23054,-0.53979 53.23054,-0.53978 53.23059,-0.53977 53.23063,-0.53971 53.23079,-0.53969 53.23088)))"
0231b4e5-034e-4919-b4b7-811bf066852a,LTA CHARACTER AREA,,Norman Street Character Area,"‰Û¡ÌÝÌThe Norman Street Character Area is a key area for Lincoln's road and bus infrastructure situated south east of the city centre. Its character is mainly the result of large-scale re-organisation of an existing Early Industrial [1750-1845 AD] townscape during the expansion and upgrading of road infrastructure in the southern part of the city in the Post-War Period [1946-1966 AD]. The Character Area consists of one major road, Melville Street/Pelham Bridge, three subsidiary roads (Norman Street, Pelham Street and Oxford Street) and the bus station. Obscure and irregular spaces have been created by the layout of the roads. The larger plots have several uses including a multi-storey car park, a bus station with roof car park, surface-level car parking and Oxford Hall, a student residence. There are also several green areas including an area of grass with planted borders between Pelham Bridge and Pelham Street, plus trees, planters and planted borders at various locations including along the wall of the bus station on Melville Street where trees ‰Û¡ÌÝÌásoften‰Û¡ÌÝå» this strong boundary.The modern road infrastructure has overwritten earlier field boundaries and road patterns but a few elements of the earlier townscape still influence the current character of the area. For example, Melville Street follows the line of a former burgage plot. From as early as the High Medieval Era [850-1350 AD] Sincil Dyke, which is now culverted, was an open drain running south east to north west through the Character Area. The new road infrastructure of the Early Industrial Period linked the new Canwick Road with Broad Street (now Broadgate). The routes of existing roads were changed significantly but some original sections of Oxford and Pelham Street are retained in the townscape. The new road layout has created a number of ‰Û¡ÌÝÌáislands‰Û¡ÌÝå», often large in scale, including the site of the car park off Oxford Street and the site of Oxford Hall, which was initially a conversion from two Late Victorian/Edwardian properties (4 and 5 Norman Place) in the Post-War Period.The main building in the Character Area is the bus station, which is a two-storey building that is open on all sides at ground-floor level and has a suspended rooftop car park at first-floor level. It is a concrete structure with red-brick walls around the first floor, which is suspended on concrete pillars that have a wood-effect imprint. From the car park, there are panoramic views of the city. The only other building is the three-storey Oxford Hall student accommodation with white rendered facade and canopy at ground-floor level to the front, including a projecting entranceway. The pitched, hipped roofs and chimneys of Late Victorian/Edwardian properties that were incorporated into the building can still be seen behind the parapet of the later faÌÎå_ade. Many of the features in the Character Area give it a horizontal emphasis such as the footbridge across Melville Street, Pelham Bridge itself and the wide and low design of the bus station. This horizontal emphasis, combined with the large number of roads and the low density of the buildings give most of the Character Area a low sense of enclosure.Railings and fencing are key characteristics of the area, including large amounts of security fencing under Pelham Bridge plus railings to control the movement of pedestrians along many of the roads and on the small road ‰Û¡ÌÝÌáislands‰Û¡ÌÝå» that are used as crossing points. This makes access and movement difficult for pedestrians. The relationship of the Character Area to the city and surrounding areas is closely connected to its highways-dominated townscape. It is situated at the corner of the city centre, at the junction of this and the major road network. Its location between the city centre, including nearby market, and an industrial area to the east means that it is well positioned for providing services such as car parking and a bus terminal. Accessibility through the area varies. For vehicles, there are very good connections to major northern, western and southern routes into and out of the city. However, although there is access on to Pelham Bridge to leave the city heading south, connections to the area immediately to the south are poor as the railway line is a barrier to movement with very limited crossing points. Access to the east for vehicles is also blocked by the Siemens factory, which extends for a considerable distance on the eastern side of Pelham Road. For pedestrians there is good access to the north and west into the city centre but again access to the east is blocked by Siemens and access south is only by the footpath on Pelham Bridge which is very busy or by the footbridge over the railway. The role of the Character Area as a gateway to the city is emphasised by the extensive views both to the north from Pelham Bridge (the Cathedral and upper city extending down the hillside) and to the south (green expanse of South Common and the south escarpment). The latter gives the impression of departing the city and getting straight out into the countryside beyond. The area has a high volume of traffic and buses are frequently arriving and departing. However, the number of pedestrians varies. In the north west of the Character Area, there are many pedestrians arriving and departing from the bus station and car park but there are fewer in the south of the Character Area.The condition of both the buildings and streetscape in the Character Area is quite poor. The surface of the large surface level car park is poor, as is the condition of the security fencing around parts of it.‰Û¡ÌÝå",Summary,,,,Lincoln Townscape Assessment,LTA 9,Character Area,,,,,,,,LTA Character Areas.shp,Reference_,64,
0231b4e5-034e-4919-b4b7-811bf066852a,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.53884 53.22663,-0.53874 53.22668,-0.53831 53.22669,-0.53826 53.22683,-0.53819 53.22711,-0.53811 53.22743,-0.53841 53.22746,-0.53839 53.22756,-0.53834 53.22756,-0.53833 53.22758,-0.53824 53.22757,-0.53742 53.22748,-0.53737 53.22768,-0.5375 53.22769,-0.53742 53.22795,-0.5381 53.22801,-0.53809 53.22806,-0.53726 53.22797,-0.53724 53.22804,-0.53704 53.22801,-0.53664 53.228,-0.53665 53.2278,-0.53665 53.22756,-0.53665 53.22734,-0.53665 53.22704,-0.53665 53.227,-0.53646 53.227,-0.53612 53.22702,-0.53592 53.22702,-0.53592 53.22689,-0.53592 53.22672,-0.536 53.22668,-0.53609 53.22662,-0.53608 53.22652,-0.53615 53.22642,-0.53624 53.22633,-0.53633 53.22622,-0.53637 53.22609,-0.53639 53.22599,-0.53635 53.22583,-0.53632 53.22571,-0.53631 53.22562,-0.5364 53.22558,-0.53648 53.22558,-0.53663 53.22556,-0.53678 53.22555,-0.53689 53.22555,-0.53703 53.22559,-0.5373 53.22573,-0.53772 53.22597,-0.53796 53.22613,-0.53822 53.22628,-0.5383 53.22633,-0.53871 53.22642,-0.53886 53.22647,-0.53886 53.22654,-0.53884 53.22663)))"
