ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Activity_Name_2,Name_Type_2,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,External_Xref_Source_2,External_Xref_2,Compiler,Date of Compilation,Date of Last Update,wkt_point,wkt_poly
00a057e0-4867-4691-ade4-48f83b537210,7865,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at 57-59 Carholme Road""",Primary,"""57-59 Carholme Road""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of 5 geotechnical test pits. Test Pit 2 (TP2).  Natural sand 0.9m below surface sealed by silty sand and top-soil.""",Summary,2003-10-09,2003-10-10,496887,371459,Lincoln City and County Museum,,John Herridge,2003-12-31,2009-01-26,POINT (-0.549990722619316 53.2313415266703),
00a057e0-4867-4691-ade4-48f83b537210,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.549976 53.231346,-0.550006 53.231346,-0.550006 53.231337,-0.549976 53.231337,-0.549976 53.231346)))"
00a5d5ee-e8e0-484b-a95f-bf76267be19b,1055,Lincoln Heritage Database,,Investigative Activity,"""Excavation at Waterside North""",Primary,"""Waterside north west""",Site Name,EXCAVATION,"""Area 2 of three. Area B""",Summary,1988-06-01,1989-01-17,497621,371191,Lincoln City and County Museum,2013.139,Michael Dore,1995-01-10,2013-09-16,POINT (-0.539080520232397 53.2287990849983),
00a5d5ee-e8e0-484b-a95f-bf76267be19b,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.539044 53.22883,-0.539048 53.228807,-0.539055 53.228784,-0.53906 53.228762,-0.539063 53.228747,-0.539063 53.228742,-0.539065 53.228737,-0.539072 53.228726,-0.539075 53.228711,-0.53908 53.228687,-0.539082 53.228674,-0.539082 53.22867,-0.539079 53.228667,-0.539073 53.228665,-0.539066 53.228665,-0.539064 53.228666,-0.539062 53.228668,-0.539059 53.228675,-0.539038 53.228738,-0.539032 53.228755,-0.539022 53.228777,-0.539012 53.228804,-0.539008 53.228812,-0.539007 53.228817,-0.539009 53.22882,-0.539015 53.228825,-0.539022 53.228827,-0.53903 53.228828,-0.539044 53.22883)))"
00b3ade4-ca89-4d8b-85e8-de6b05c3a1e4,8964,Lincoln Heritage Database,,Investigative Activity,"""Borehole Survey at Ropewalk/Holmes""",Primary,"""Great Central Warehouse""",Site Name,BOREHOLE SURVEY,"""Borehole environmental sampling and analysis during groundworks for the conversion of the Great Central Warehouse into the main library for the University of Lincoln. Borehole 4 of 5. BH5. Post-medieval deposits were recorded down to 3.5m in depth""",Summary,2004-11-01,2004-11-30,497225,370909,Lincoln City and County Museum,2004.264,John Herridge,2005-06-29,,POINT (-0.545096460239271 53.2263375900172),
00b8f50e-8631-472f-8e9c-dcf6ccd83008,3075,Lincoln Heritage Database,,Investigative Activity,"""Casual Observation at Exchequergate""",Primary,"""Exchequergate""",Site Name,CASUAL OBSERVATION,"""Observation of standing walls with stucco imitating marble veneer, and mosaic pavement""",Summary,,,497660,371812,,,John Herridge,1997-05-20,2008-10-02,POINT (-0.538306452740318 53.2343721607854),
00cebe5a-b027-4cce-97be-2790e36ef9e3,4796,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Steep Hill""",Primary,"""29 Steep Hill""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) in conjunction with geotechnical trial pit investigations. Trial pit 1.""",Summary,1999-06-23,1999-07-23,497601,371769,Lincoln City and County Museum,141.99,John Herridge,2000-05-03,,POINT (-0.539203235697594 53.2339965997766),
00cebe5a-b027-4cce-97be-2790e36ef9e3,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.539205 53.234003,-0.539209 53.233995,-0.539187 53.233992,-0.539183 53.233999,-0.539205 53.234003)))"
010be1c0-2426-4a17-853d-e062515dadc4,4172,Lincoln Heritage Database,,Investigative Activity,"""Photographic Survey at Mill Road""",Primary,"""Ellis mill""",Site Name,PHOTOGRAPHIC SURVEY,"""The mill was recorded and photographed as part of 1998 Industrial Archaeology Survey project""",Summary,1998-06-18,1998-07-14,497092,372222,Lincoln City and County Museum,,John Herridge,1998-07-29,,POINT (-0.546688499668154 53.2381603943738),
011c813f-2acb-48f8-b620-579b1a6f27cf,11246,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at 10 James Street""",Primary,"""10 James Street""",Site Name,WATCHING BRIEF,"""Scheme of Archaeological Mitigation during groundworks for the construction of a detached dwelling, involving the monitoring and recording of archaeological deposits within new ground-beam foundation trenches, two service trenches, ground levelling, a fish pond and a trial pit.  Fish pond and associated groundworks.""",Summary,2009-09-14,2011-02-18,497771,372053,Lincoln City and County Museum,2011.457,John Herridge,2013-07-10,,POINT (-0.536570177154835 53.2365173594791),
011c813f-2acb-48f8-b620-579b1a6f27cf,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.536763 53.236406,-0.536713 53.236402,-0.53671 53.236415,-0.536641 53.236431,-0.536605 53.236485,-0.536572 53.236482,-0.536557 53.236541,-0.536608 53.236546,-0.536623 53.236487,-0.53661 53.236485,-0.536645 53.236433,-0.53671 53.236418,-0.53671 53.23642,-0.536759 53.236423,-0.536763 53.236406)))"
0128233f-6d8d-4241-ae60-ba06768436bb,11174,Lincoln Heritage Database,,Investigative Activity,"""Evaluation at University of Lincoln""",Primary,"""Zone D, Brayford Campus""",Site Name,EVALUATION,"""Archaeological evaluation in advance of the construction of a new Art, Architecture and Design Building, consisting of four test pits. They exposed c 4m of deposits, with peat overlying a palaeosol and glacial sand, below railway consolidation and modern deposits""",Summary,2012-06-06,2012-06-07,497099,371034,Lincoln City and County Museum,2012.93,John Herridge,2012-09-17,,POINT (-0.546945161808082 53.2274838459986),
014558c0-6587-40a7-9729-3f19fde5a52d,4171,Lincoln Heritage Database,,Investigative Activity,"""Photographic Survey at Melville Street / Broadgate / Magpie Square""",Primary,"""Thorn Bridge""",Site Name,PHOTOGRAPHIC SURVEY,"""The bridge was recorded and photographed as part of 1998 Industrial Archaeology Survey project""",Summary,1998-06-16,1998-06-16,497786,371123,Lincoln City and County Museum,,John Herridge,1998-07-29,,POINT (-0.536630510350378 53.2281577353228),
0147e97b-fd00-4e82-b877-edbc726deab3,1128,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Sincil Bank""",Primary,"""Lincoln City Football Club - new stand""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) site. Area 5 of five. Area 5""",Summary,1994-09-15,1994-10-17,497475,370045,Lincoln City and County Museum,136.94,Michael Dore,1994-09-23,2009-02-05,POINT (-0.541616735442725 53.2185280085656),
015db8fa-19c1-4b25-8bb2-3b0b03a368f1,11191,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Wigford""",Primary,"""Land off Brayford Wharf East""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of five geotechnical test pits (TP 1-5) and six boreholes (BH1-6) in advance of the construction of student residential accommodation. BH5. A top layer of brick rubble, possibly a backfilled cellar, overlay a 2m thick layer of dark brown clayey sand, below which was yellow sand.""",Summary,2012-08-10,2012-08-10,497367,370940,Lincoln City and County Museum,2012.12,John Herridge,2012-11-05,2012-11-20,POINT (-0.542960697571193 53.2265901798942),
015db8fa-19c1-4b25-8bb2-3b0b03a368f1,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.542962 53.226595,-0.542962 53.226594,-0.542961 53.226594,-0.54296 53.226594,-0.542959 53.226594,-0.542959 53.226595,-0.542959 53.226596,-0.54296 53.226596,-0.542961 53.226596,-0.542962 53.226596,-0.542962 53.226595)))"
015dbef6-cf72-4acc-a40f-8f25c42869ef,8858,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Kingsdown Road/Carnoustie Drive/Muirfield Close, Birchwood""",Primary,"""Land off Kingsdown Road, Birchwood""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during site clearance and groundworks in advance of a residential development. No archaeological deposits were recorded, and no remains of the World War II RAF Skellingthorpe base were observed. Top soil 0.25m deep overlay sand deposits of very mixed appearance. Some land drains were seen.""",Summary,2004-10-26,2004-11-22,492795,369124,Lincoln City and County Museum,2005.1,John Herridge,2005-04-11,,POINT (-0.611951524409851 53.2110884894903),
015dbef6-cf72-4acc-a40f-8f25c42869ef,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.611319 53.211913,-0.611418 53.21185,-0.611475 53.211814,-0.611539 53.211774,-0.611594 53.211739,-0.611744 53.211645,-0.611883 53.211557,-0.612112 53.211413,-0.612279 53.211306,-0.612914 53.210905,-0.612711 53.210773,-0.612718 53.210769,-0.612654 53.210725,-0.612601 53.21069,-0.612535 53.210646,-0.612356 53.210525,-0.61214 53.21038,-0.611953 53.210254,-0.6115 53.210512,-0.611385 53.210577,-0.611371 53.210585,-0.611343 53.210604,-0.611152 53.210709,-0.611116 53.210831,-0.61108 53.210867,-0.611012 53.210936,-0.610918 53.211031,-0.610722 53.211218,-0.610566 53.21136,-0.610667 53.211429,-0.611128 53.211772,-0.611319 53.211913)))"
01605524-acb7-484f-b535-1333444c7b2a,1066,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Waterside South""",Primary,"""Waterside South 1982""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of a drain trench in advance of the construction of a shop for C & A (now Wilkinsons). The trench ran east-west from Sincil Street for 100m, then northwards for 27m towards the river. It was c1m wide and up to 3.9m deep.""",Summary,1982-01-01,1982-12-31,497605,371114,Lincoln City and County Museum,2000.55,Michael Dore,1995-01-12,2013-09-13,POINT (-0.53934366465519 53.2281101075067),
01605524-acb7-484f-b535-1333444c7b2a,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.540059 53.228411,-0.540069 53.228164,-0.540061 53.228155,-0.538571 53.228071,-0.538569 53.228083,-0.54004 53.228162,-0.540054 53.228169,-0.540046 53.22841,-0.540059 53.228411)))"
0172ee25-b72a-484c-b99d-8158a3f3fa75,10787,Lincoln Heritage Database,,Investigative Activity,"""Test Pit at St Marks Street""",Primary,"""The Junction""",Site Name,TEST PIT,"""Archaeological Evaluation in advance of construction of a residential development. It consisted of two test pits Trench 1 and Trench 2. Trench 2, 1.8m x 2.8m x 2.04m deep. Modern floor surfaces and brick foundations were recorded to a depth of 1.62m. Beneath was a layer of clayey silt.""",Summary,2002-05-29,2002-05-30,497268,370898,Lincoln City and County Museum,2002.326,John Herridge,2009-01-26,,POINT (-0.544455930061461 53.2262308837349),
0172ee25-b72a-484c-b99d-8158a3f3fa75,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.544442 53.226249,-0.54447 53.22625,-0.544471 53.226225,-0.544443 53.226224,-0.544442 53.226249)))"
0175b661-98d2-4de5-a94c-9f184b02c0c3,380,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Steep Hill""",Primary,"""16 Steep Hill""",Site Name,WATCHING BRIEF,"""Total renovation of the building. Structural damage to north facing wall. North wall had some stone rubble at foundation. South wall had stone rubble grey soil mix foundation. Several pieces of samian Roman pottery retrieved""",Summary,1990-12-10,1990-12-10,497645,371676,Lincoln City and County Museum,,Michael Dore,1994-12-01,2013-09-18,POINT (-0.538572724360425 53.2331528351822),
019d9806-6bec-484d-adce-63e1cf2cb1c5,733,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Monks Road""",Primary,"""23 Monks Road""",Site Name,WATCHING BRIEF,"""Foundations for a rear (south) extension to a depth of 1m revealed only homogenous loam with some bone. This was interpreted as a Victorian garden soil dump""",Summary,1988-10-21,1988-10-21,497946,371407,Lincoln City and County Museum,,Michael Dore,1994-12-20,2013-09-18,POINT (-0.534147421051793 53.2306802837454),
01cdabf7-d36d-4bd1-afe1-42af62f082a2,1286,Lincoln Heritage Database,,Investigative Activity,"""Excavation at High Street""",Primary,"""170 High Street""",Site Name,EXCAVATION,"""Area 3 of four. Trench 3""",Summary,1990-03-15,1990-05-24,497380,370904,Lincoln City and County Museum,2006.75,Michael Dore,2013-09-13,1996-01-10,POINT (-0.542777016942831 53.2262643073199),
01e48df5-a144-4a03-843e-22fb255d473e,1013,Lincoln Heritage Database,,Investigative Activity,"""Excavation at Westgate""",Primary,"""Westgate 1973""",Site Name,EXCAVATION,"""Excavation site consisting of two trenches, Trenches 1 and 2. Trench 1""",Summary,1973-01-18,1973-03-10,497424,372091,Lincoln City and County Museum,2000.247,Michael Dore,1995-01-09,2013-09-11,POINT (-0.541755774324766 53.2369225140048),
01e48df5-a144-4a03-843e-22fb255d473e,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.541639 53.23696,-0.541699 53.236964,-0.541706 53.236937,-0.541865 53.236948,-0.541869 53.236927,-0.541708 53.236917,-0.541711 53.236888,-0.541654 53.236885,-0.541639 53.23696)))"
01e6fb49-6f12-446a-8acb-f25ea1a209fa,4161,Lincoln Heritage Database,,Investigative Activity,"""Photographic Survey at Malandry Closes""",Primary,"""Road bridge""",Site Name,PHOTOGRAPHIC SURVEY,"""The bridge was recorded and photographed as part of 1998 Industrial Archaeology Survey project""",Summary,1998-06-16,1998-06-16,497271,369412,Lincoln City and County Museum,,John Herridge,1998-07-29,,POINT (-0.544863642408908 53.2128772442958),
01ebe469-ffe0-4a78-9797-1f97b9ccbc8f,7845,Lincoln Heritage Database,,Investigative Activity,"""Trial Trench at 270 High Street""",Primary,"""The Former Falstaff Public House""",Site Name,TRIAL TRENCH,"""Archaeological Evaluation in advance of an application to erect an extension.""",Summary,2002-03-14,2002-03-19,497611,371451,Lincoln City and County Museum,2002.129,John Herridge,2003-12-16,,POINT (-0.539150746222658 53.2311372521333),
01ebe469-ffe0-4a78-9797-1f97b9ccbc8f,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.53915 53.231153,-0.539163 53.231128,-0.539135 53.231122,-0.539121 53.231148,-0.53915 53.231153)))"
01eca77c-9185-48c1-8585-8ea093521a8f,997,Lincoln Heritage Database,,Investigative Activity,"""Geotechnical Test Pit at Brayford South/Holmes""",Primary,"""University College of Lincolnshire""",Site Name,GEOTECHNICAL TEST PIT,"""Pit 48 of sixty one. TP51""",Summary,1994-01-24,1994-01-24,496993,370966,Lincoln City and County Museum,15.94,Michael Dore,1995-01-06,1996-02-07,POINT (-0.548553113699725 53.2268921420823),
01f7d24a-4bec-41ab-8bab-f7b9d5db3ab7,1367,Lincoln Heritage Database,,Investigative Activity,"""Trial Trench at Nettleham Road""",Primary,"""Nettleham Road""",Site Name,TRIAL TRENCH,"""Archaeological Evaluation consisting of three trenches, Trenches I-III. Trench Ill, 25m x 2.5m x 0.35m deep. A pier base of the aqueduct was recorded, but the area was much disturbed.""",Summary,1993-01-10,1993-01-18,498807,373769,Lincoln City and County Museum,2005.203,Michael Dore,1994-11-18,2013-09-16,POINT (-0.520521846413112 53.2517454838078),
01f7d24a-4bec-41ab-8bab-f7b9d5db3ab7,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.520144 53.251686,-0.520527 53.251758,-0.520539 53.251738,-0.520164 53.251666,-0.520144 53.251686)))"
01fec120-6ae5-4276-bce0-627733d9f8ec,620,Lincoln Heritage Database,,Investigative Activity,"""Casual Observation at High Street""",Primary,"""High Street (Shakespeare Street - Cornhill)""",Site Name,CASUAL OBSERVATION,"""Observation 2 of five. In 1877-8 Drury observed the Roman road at various points. Here it was four and a half feet (1.37m) below the road, was 5 feet (1.52m) thick concrete on top of 3-4 feet (0.91m-1.22m) of muddy soil covering clean river sand""",Summary,,,497374,370723,Lincoln Central Library,,Michael Dore,1994-12-14,1996-01-19,POINT (-0.542922071010016 53.2246389553854),
021057ff-b998-4c96-9341-f3f8e798343f,11107,Lincoln Heritage Database,,Investigative Activity,"""Casual Observation at Allotment gardens, Malandry""",Primary,"""Allotment gardens, Malandry""",Site Name,CASUAL OBSERVATION,"""Found while allotment digging, a collection of human bone at a depth of c0.3m. Reported to R Trimble of CLAU, who inspected and recorded the site.""",Summary,2000-03-13,2000-03-14,497360,369516,Lincoln City and County Museum,,John Herridge,2011-06-28,2013-09-18,POINT (-0.543499679044242 53.2137955070095),
023a6c6e-ecf3-4eeb-b778-1df330e70b8e,631,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Newport""",Primary,"""Willsons Cottage, Newport""",Site Name,WATCHING BRIEF,"""Small scale drainage work revealed only disturbed dark brown earth containing brick/stone and little else""",Summary,1993-01-07,1993-05-27,497683,372534,Lincoln City and County Museum,,Michael Dore,1994-12-14,2013-09-18,POINT (-0.537740896288114 53.2408557378905),
023a82c4-dbcb-4f38-80bb-f248eb7c55b9,895,Lincoln Heritage Database,,Investigative Activity,"""Excavation at High Street""",Primary,"""St Marys Guildhall 1982""",Site Name,EXCAVATION,"""Excavation site""",Summary,1981-01-01,1986-12-31,497328,370456,Lincoln City and County Museum,86.99,Michael Dore,1995-01-05,2013-09-13,POINT (-0.543692241989152 53.2222481330719),
0240145f-5bd7-4a0e-a174-b424f3c8dea3,10120,Lincoln Heritage Database,,Investigative Activity,"""Evaluation at Wavell Drive, Allenby Road Industrial Estate""",Primary,"""Land at Wavell Drive""",Site Name,EVALUATION,"""Archaeological Evaluation in advance of the construction of a light industrial development, consisting of three trenches, T1, T2 and T3""",Summary,2006-11-28,2006-11-28,500040,371430,Lincoln City and County Museum,2007.137,John Herridge,2007-09-11,2009-01-21,POINT (-0.502781990699676 53.2304971937547),
0247e61d-5bcc-4132-b1f0-5ba6ea235858,630,Lincoln Heritage Database,,Investigative Activity,"""Excavation at Nettleham Road""",Primary,"""81 Nettleham Road""",Site Name,EXCAVATION,"""Investigative trench and resistivity surveys proved negative in an attempt to trace the line of the Roman aqueduct""",Summary,1975-01-01,1979-12-31,498328,372730,Lincoln City and County Museum,,Michael Dore,1994-12-14,2013-09-18,POINT (-0.528019031407071 53.2424980592305),
025eb2ea-d828-448b-8960-b6b850f2be62,4697,Lincoln Heritage Database,,Investigative Activity,"""Excavation at Cornhill""",Primary,"""Tourist Information Centre, Cornhill""",Site Name,EXCAVATION,"""Archaeological Recording and Excavation during groundwork for extensions to the Information Centre. Trench 3 of six. Trench T3. East side of site. Interpretation of deposits was impossible due to the small size of the trench (0.2m sq.)""",Summary,1999-02-02,1999-02-18,497521,371049,Lincoln City and County Museum,25.99,John Herridge,2000-01-25,2008-12-09,POINT (-0.540621389951448 53.2275414317191),
025eb2ea-d828-448b-8960-b6b850f2be62,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.540602 53.227549,-0.540616 53.227552,-0.54062 53.227543,-0.540605 53.227541,-0.540602 53.227549)))"
02639c2f-dd24-4ac6-ae56-228da5d81839,636,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Occupation Road""",Primary,"""3 Occupation Road""",Site Name,WATCHING BRIEF,"""An extension to the west of the property was to be constructed. Footings were from 450mm - 600mm deep and soil excavated was very dark brownish black garden soil which consisted of mainly broken brick and tile rubble from a demolished brick outhouse""",Summary,1993-05-13,1993-05-13,497266,372079,Lincoln City and County Museum,,Michael Dore,1994-12-14,2013-09-18,POINT (-0.544125907814449 53.2368436088449),
02639c2f-dd24-4ac6-ae56-228da5d81839,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.54406 53.236886,-0.544188 53.236853,-0.544165 53.23682,-0.544036 53.236852,-0.54406 53.236886)))"
028b3d29-7b4d-48e2-9676-b51572193a73,4304,Lincoln Heritage Database,,Investigative Activity,"""Desk Based Assessment at 174/5 High Street""",Primary,"""Wigford Yard""",Site Name,DESK BASED ASSESSMENT,"""Archaeological and Historical desktop study of the site of, and buildings in, Wigford Yard, to the west of 174/5 High Street""",Summary,1995-08-01,1995-08-31,497361,370953,,,John Herridge,1998-12-21,,POINT (-0.543046576906846 53.2267080949979),
02b43f8d-9b18-4f2d-86f8-5f7b14261fac,4600,Lincoln Heritage Database,,Investigative Activity,"""Excavation at Minster Yard""",Primary,"""Subdeanery""",Site Name,EXCAVATION,"""Excavation site. Trench 1; eastern trench.""",Summary,1955-01-01,1955-12-31,497811,371736,,,John Herridge,1999-08-05,2013-09-18,POINT (-0.536068261804011 53.2336614818837),
02b43f8d-9b18-4f2d-86f8-5f7b14261fac,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.536066 53.233721,-0.536069 53.233704,-0.536065 53.233702,-0.53608 53.233614,-0.536061 53.233612,-0.536038 53.233718,-0.536066 53.233721)))"
02d3d2de-30a5-4915-8eb6-cd08a859182c,4453,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Union Road""",Primary,"""CCTV Installation, The Lawn and Westgate car-parks""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during the excavation of a foundation trench for CCTV post. Trench 2 of three. The Lawn. Limestone brash, probable natural, was exposed at c1.30m below ground surface.""",Summary,1997-11-03,1998-12-31,497335,371877,Lincoln City and County Museum,270.97,John Herridge,1998-12-24,2008-12-04,POINT (-0.543154079111443 53.2350158311141),
02d3d2de-30a5-4915-8eb6-cd08a859182c,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.543117 53.234816,-0.543114 53.234816,-0.543068 53.234954,-0.543045 53.234953,-0.543045 53.234956,-0.543068 53.234957,-0.543133 53.235013,-0.54313 53.235024,-0.543149 53.235026,-0.543151 53.235015,-0.543138 53.235014,-0.543072 53.234955,-0.543117 53.234816)))"
02f5a2b8-0142-4a26-8d06-bb9f8fb4650a,10382,Lincoln Heritage Database,,Investigative Activity,"""Building Survey at 5 Bailgate""",Primary,"""5 Bailgate""",Site Name,BUILDING SURVEY,"""The history of the plot was examined, and buildings surveyed, as part of The Survey of Ancient Houses in Lincoln.  Survey no. S108""",Summary,1970-01-01,1996-04-30,497637,371848,LAO,,John Herridge,2008-04-23,,POINT (-0.538639901598456 53.2346998760035),
02fb7481-61cc-49d2-b755-a3683ed6f004,10227,Lincoln Heritage Database,,Investigative Activity,"""Borehole Survey at Waterside North""",Primary,"""Former Slipper Baths Site""",Site Name,BOREHOLE SURVEY,"""Boreholes (3) taken to assess the potential for leaching of cement material from piling into archaeological deposits.""",Summary,2005-11-01,2005-11-30,497721,371151,Lincoln City and County Museum,,John Herridge,2008-03-13,,POINT (-0.537595285806322 53.2284212861711),
